keyword,frequency
Circular economy,9053
circular economy,4434
Sustainability,1783
Recycling,1005
sustainability,996
Waste management,696
Life cycle assessment,562
recycling,549
Circular Economy,531
Sustainable development,459
waste management,341
Industry 4.0,330
sustainable development,320
Resource recovery,279
Anaerobic digestion,270
Food waste,233
Biorefinery,226
Bioeconomy,224
Waste,224
LCA,223
Reuse,222
Pyrolysis,219
Biomass,204
industrial ecology,194
Biochar,189
Wastewater treatment,188
Adsorption,175
Biogas,175
Wastewater,172
Industrial symbiosis,166
Renewable energy,165
Plastic waste,164
Resource efficiency,163
Climate change,163
life cycle assessment,163
Waste valorization,157
Remanufacturing,154
Microalgae,138
waste,137
Bioenergy,134
China,134
Environmental sustainability,134
Barriers,133
Circularity,133
Municipal solid waste,132
Valorization,130
Material flow analysis,128
Environmental impact,121
Sustainable development goals,117
Circular economy (CE),117
Environment,116
COVID-19,116
Innovation,115
E-waste,111
reuse,110
Supply chain,107
Sewage sludge,106
3D printing,103
climate change,103
biomass,100
Machine learning,98
Bibliometric analysis,98
Nutrient recovery,97
Industrial ecology,96
food waste,96
Waste-to-energy,96
Reverse logistics,95
Literature review,94
Mechanical properties,92
Systematic literature review,91
Biodiesel,91
European Union,91
anaerobic digestion,89
WEEE,89
Carbon footprint,89
Recovery,89
renewable energy,88
Circular business models,87
bioeconomy,87
Optimization,84
Additive manufacturing,84
SMEs,84
Construction and demolition waste,82
Life cycle assessment (LCA),82
Agriculture,81
Digitalization,81
Energy,80
waste valorization,80
Supply chain management,79
Business model,79
Energy recovery,79
circularity,78
Closed-loop supply chain,75
Packaging,75
adsorption,75
mechanical properties,74
wastewater,74
Indicators,73
Heavy metals,72
Circular business model,72
biogas,72
biorefinery,72
Sustainable consumption,72
Chemical recycling,71
Plastics,71
Business models,70
Biofuels,70
Waste recycling,70
plastic waste,70
environment,70
Phosphorus,69
Built environment,69
resource efficiency,69
Circular bioeconomy,69
Upcycling,68
Biomethane,68
bioactive compounds,68
Construction,67
remanufacturing,67
Blockchain,66
Life Cycle Assessment,66
Construction industry,66
Environmental impacts,66
Artificial intelligence,66
Biowaste,66
municipal solid waste,66
sustainable development goals,65
Biofuel,64
Energy transition,64
Activated carbon,64
Bioactive compounds,64
polyphenols,64
biochar,64
Concrete,63
environmental impact,63
innovation,62
Case study,62
plastics,61
Policy,61
Energy efficiency,61
Resilience,60
Urban mining,60
Green chemistry,60
circular economy (CE),60
Zero waste,59
barriers,58
SDGs,58
pyrolysis,58
Plastic,57
Solid waste,57
wastewater treatment,57
Composting,57
Recycle,57
resource recovery,57
Product design,56
environmental sustainability,56
bibliometric analysis,56
Sustainable,55
valorization,55
Phenolic compounds,54
Fly ash,54
Waste to energy,54
supply chain,54
Cleaner production,54
chemical recycling,54
Durability,54
Gasification,53
Solid waste management,53
Organic waste,53
Repair,53
Sustainable agriculture,53
by-products,53
By-products,52
Techno-economic analysis,52
industrial symbiosis,52
green chemistry,52
Agricultural waste,52
Nutrients,51
Fertilizer,51
Digestate,51
Hydrogen,51
Circular supply chain,51
Eco-innovation,51
antioxidant activity,51
Sustainable production,50
upcycling,50
Bioremediation,49
Lignin,49
reverse logistics,49
Sustainable Development Goals,49
material flow analysis,49
Carbon neutrality,49
Mechanical recycling,48
Hydrothermal carbonization,48
Business model innovation,48
agriculture,48
construction and demolition waste,48
Bioplastics,47
Cellulose,47
circular business model,47
e-waste,47
energy efficiency,47
Water reuse,46
Bioplastic,46
Eco-design,46
Sustainable manufacturing,46
End-of-life,46
Plastic recycling,46
Plastic pollution,46
Critical raw materials,45
Eco-efficiency,45
Aquaculture,45
Compressive strength,45
Sustainability assessment,45
circular business models,45
Manufacturing,44
Biopolymers,44
Metal recovery,44
Governance,44
Food security,44
Carbon dioxide,44
India,44
System dynamics,43
Compost,43
energy,43
Polyphenols,43
Circular design,43
business model,43
Food packaging,43
Water treatment,42
literature review,42
Valorisation,42
Europe,42
Management,42
Hermetia illucens,42
Electronic waste,42
Lignocellulosic biomass,42
lignin,42
composting,41
Sustainable waste management,41
Sustainable construction,41
Extended producer responsibility,41
Sharing economy,41
Survey,41
CO<sub>2</sub> emissions,41
Polymers,41
sewage sludge,41
Leaching,40
systematic literature review,40
Transition,40
Electric vehicles,40
Characterization,40
Review,40
heavy metals,40
microalgae,40
Systematic review,40
Waste valorisation,40
Composites,40
Developing countries,40
Biodegradation,40
Water,39
Stakeholders,39
Extraction,39
Consumer behavior,39
Greenhouse gas emissions,39
Pollution,39
Rare earth elements,39
additive manufacturing,39
Value-added products,39
recovery,39
Struvite,38
DEMATEL,38
Hydrometallurgy,38
case study,38
Sludge,38
Fermentation,38
Urban metabolism,38
Lithium-ion batteries,38
Green economy,38
cellulose,38
blockchain,38
Mining,37
Adaptive reuse,37
construction,37
fly ash,37
Textile waste,37
food packaging,37
supply chain management,37
Enablers,36
Municipal waste,36
Nitrogen,36
Technology,36
Biomass valorization,36
Environmental management,36
digitalization,36
bioenergy,36
Economic growth,36
plastic recycling,36
business models,36
Industrial waste,36
Waste recovery,35
Polyhydroxyalkanoates,35
PET,35
Response surface methodology,35
Geopolymer,35
Corporate social responsibility,35
Circularity indicators,35
environmental policy,35
Efficiency,35
policy,35
Cement,35
Microplastics,35
sustainable consumption,35
Drivers,35
machine learning,35
CO<sub>2</sub> utilization,34
Collaboration,34
Metals,34
Manure,34
SWOT analysis,34
Challenges,34
plastic pollution,34
antioxidants,34
Decision-making,34
PLA,34
sustainable agriculture,34
phenolic compounds,34
Design,33
