keyword,frequency
Circular economy,9274
recycling,3612
Sustainable development,3425
Recycling,2889
waste management,2613
Article,2409
sustainability,2334
Life cycle,1822
economic aspect,1611
human,1368
nonhuman,1295
sustainable development,1258
Waste management,1242
controlled study,1147
Environmental impact,1144
environmental impact,1139
Economics,1084
Biomass,1009
biomass,1004
environmental economics,960
Wastewater treatment,902
life cycle analysis,840
Supply chains,819
chemistry,810
waste disposal,795
China,792
Greenhouse gases,788
Decision making,761
article,759
Economic and social effects,749
Carbon,743
Plastic recycling,740
plastic,673
Carbon dioxide,671
wastewater,670
Climate change,629
procedures,624
Waste Management,619
Electronic Waste,618
Fertilizers,605
municipal solid waste,605
Europe,597
Anaerobic digestion,593
Review,593
solid waste,592
plastic waste,584
anaerobic digestion,583
European Union,571
economic conditions,569
climate change,561
Gas emissions,559
food waste,556
Industrial economics,547
Recovery,542
Construction industry,541
Valorisation,538
polymer,537
Energy utilization,535
literature review,533
Animals,527
Humans,525
carbon dioxide,517
Agriculture,516
Reuse,510
Elastomers,506
adsorption,504
nitrogen,497
Environmental management,493
innovation,490
life cycle assessment,488
wastewater treatment,487
valorization,487
Waste treatment,486
industrial waste,483
biofuel,481
landfill,478
Waste incineration,477
sewage,474
Nutrients,474
phosphorus,472
'current,464
pH,464
greenhouse gas,461
Municipal solid waste,459
Costs,456
manufacturing,450
Commerce,446
pyrolysis,443
Economic analysis,437
Pyrolysis,432
Life cycle assessment,431
carbon,430
Cellulose,429
Fourier transform infrared spectroscopy,426
Plastics,423
animal,419
Product design,418
fertilizer,417
decision making,416
Adsorption,411
Energy efficiency,411
Waste disposal,410
Effluents,406
Extraction,406
Biofuels,405
Plastics waste,405
Efficiency,404
strategic approach,402
Environmental technology,401
unclassified drug,395
Cost effectiveness,390
Energy,388
priority journal,386
Performance,385
biogas,376
Biogas,374
economic development,367
environmental sustainability,367
waste water management,366
Global warming,365
stakeholder,362
supply chain management,359
Food waste,359
Fossil fuels,358
Italy,355
fermentation,351
metabolism,351
water,350
Fermentation,349
waste,348
heavy metal,344
Refining,343
Metal recovery,342
Investments,337
incineration,335
Refuse Disposal,332
Carbon footprint,330
bioremediation,322
Resource recovery,320
composting,319
environmental protection,318
End of lives,317
microalga,316
Case-studies,315
Property,313
Wastes,313
Sewage,312
Phosphorus,312
Biorefineries,312
Heavy metals,310
economic system,306
carbon footprint,305
carbon emission,305
Compressive strength,305
environmental policy,305
methane,304
comparative study,303
Lithium-ion batteries,302
Nitrogen,300
agriculture,297
sludge,297
soil,297
Wastewater reclamation,290
Feedstocks,289
Agricultural wastes,289
conceptual framework,287
chemical composition,287
material flow analysis,287
Textiles,284
Additives,283
Composting,281
Spain,278
Business models,277
Scanning electron microscopy,275
cellulose,275
economic analysis,274
Life Cycle Assessment (LCA),273
alternative energy,269
Industrial research,269
urban area,268
Antioxidants,267
Plastic products,267
Solid Waste,265
Waste valorizations,263
water management,261
temperature,261
Soils,261
circular economy,259
charcoal,257
Biochar,257
Slags,256
Environmental sustainability,255
Demolition,255
India,255
business,254
Sustainable Development Goal,254
antioxidant,253
copper,252
Renewable energies,251
optimization,249
Microalgae,248
physical chemistry,246
Brazil,243
Soil,242
Developing countries,242
Tensile strength,242
review,242
quantitative analysis,241
bioenergy,241
scanning electron microscopy,240
Catalysts,239
food industry,239
electronic waste,238
leaching,237
solid waste management,236
Sensitivity analysis,236
biodegradation,233
Packaging,231
Microorganisms,230
Environmental protection,230
Chlorine compounds,229
Ammonia,228
Water conservation,228
Greenhouse gas emissions,228
nutrient,227
Biopolymers,227
Bioconversion,226
Resource efficiencies,226
Emission control,226
Methane,225
Industrial ecology,225
waste treatment,224
Cost benefit analysis,223
catalysis,222
concentration (parameter),221
economic structure,220
biochar,219
United States,219
Planning,218
pollutant removal,218
Bioreactors,217
Lignin,216
performance assessment,214
Fly ash,214
resource management,213
effluent,213
biotechnology,212
water pollutant,212
mining,211
catalyst,211
Sewage sludge,211
Substrates,209
Water,209
Polypropylenes,208
Bacteria,208
X ray diffraction,208
ammonia,208
environmental impact assessment,208
Leaching,208
Sulfur compounds,207
consumption behavior,207
hydrolysis,206
Water pollution,206
Ions,206
Biodegradable polymers,205
Effluent treatment,204
Bio-based,204
Waste Water,203
Plastic bottles,202
Polyethylene terephthalates,202
Fruits,200
economics,200
industrial ecology,196
Systematic literature review,196
particle size,196
life cycle,195
business development,193
Literature reviews,192
United Kingdom,191
policy making,190
iron,190
economic growth,188
environmental management,188
Solvents,188
lignin,188
"Water Pollutants, Chemical",187
energy consumption,187
bacterium,187
bioreactor,187
Proteins,186
Metals,186
Bio-energy,185
"Waste Disposal, Fluid",184
metal,184
Wastewater,184
Manufacture,183
natural resource,183
Bioremediation,183
concentration (composition),182
COVID-19,182
Construction and demolition waste,182
hydrogen,181
Mining,181
Supply chain management,181
sensitivity analysis,181
]+ catalyst,180
government,180
green economy,180
Cultivation,180
Packaging materials,179
Reinforced plastics,178
Waste to energy,178
oxidation,178
Forestry,177
Industry 4.0,176
Thermogravimetric analysis,176
Closed-loop,176
food,176
Ethylene,175
byproduct,175
eutrophication,175
e-waste,175
zinc,175
Chemical recycling,175
Ecology,175
chemical oxygen demand,174
Food supply,174
Land fill,174
industry,174
% reductions,174
Profitability,173
Ecodesign,173
feasibility study,172
spatiotemporal analysis,171
emission control,171
waste technology,170
Temperature,169
numerical model,169
lead,169
Ecosystems,169
manure,169
Cements,169
Phenols,169
future prospect,168
resource use,168
greenhouse effect,167
Hydrolysis,167
research work,166
ecosystem,166
Population statistics,166
Carbonization,164
Materials flow analysis,164
Water Purification,162
Crops,162
Solid wastes,162
Eutrophication,161
Biodegradation,161
city,160
Particle size,159
Food,159
electricity,159
Netherlands,158
Optimisations,158
microbial community,158
Germany,158
Pollution control,158
perception,158
Silica,157
organic matter,156
Biodegradability,156
Carbon Dioxide,156
Textile industry,155
Hydrogen production,155
phosphate,155
construction industry,155
wastewater treatment plant,154
Industrial symbiosis,154
textile industry,154
Plastics industry,153
Biotechnology,152
Charcoal,152
degradation,152
Concrete aggregates,152
Environmental regulations,152
Micro-algae,152
Lime,151
Catalysis,151
Sodium hydroxide,151
enzyme activity,150
developing world,150
machine learning,150
Water recycling,150
kinetics,150
risk assessment,150
Kinetics,149
synthesis,149
Water absorption,148
Ethanol,148
Nutrient recovery,147
energy efficiency,147
soil amendment,147
Alkalinity,147
Competition,146
European union,146
environmental monitoring,146
Crystallinity,146
investment,145
Agricultural robots,145
Public policy,145
building,145
aluminum,145
experimental study,144
energy resource,144
renewable energy,144
Value added products,144
Australia,144
commercial phenomena,144
design,143
technology,142
Escherichia coli,142
Wood,141
water supply,141
mineral,141
Activated carbon,140
Scrap metal reprocessing,140
Environmental benefits,140
Environment,140
domestic waste,140
agricultural waste,139
thermogravimetry,139
waste water treatment plant,139
fruit,139
detection method,138
Minerals,138
Environmental performance,138
assessment method,138
Physicochemical properties,137
Renewable energy resources,137
Manures,137
Chemical industry,137
Industrial Waste,137
extraction,136
Eco-friendly,136
waste valorization,136
protein,136
pollution,135
Anaerobiosis,135
anaerobic growth,135
Health risks,135
water treatment,134
Conservation,134
Environmental pollutions,134
Rare earths,134
Fibers,133
Digestate,133
nickel,133
Oils and fats,133
fossil fuel,132
Chemical analysis,132
Sales,132
Energy recovery,132
greenhouse gas emission,132
policy implementation,131
activated sludge,131
Risk assessment,131
Biodiesel,131
solvent,131
chromium,130
organic waste,129
plant extract,129
Gasification,128
Organic wastes,128
phenol derivative,128
Industry,127
energy recovery,126
combustion,126
green chemistry,126
chemical analysis,126
Cities,126
governance approach,126
compost,126
simulation,125
Carbon emissions,125
Value chains,125
Enzymes,124
environmental factor,124
Algae,124
integrated approach,124
Ecosystem,124
animal food,123
knowledge,123
Laws and legislation,123
Architectural design,123
process optimization,123
artificial intelligence,123
cadmium,122
methodology,122
concrete,122
Degradation,122
Wastes recycling,122
United Nations,121
fly ash,121
economic activity,121
polyethylene terephthalate,120
soil pollution,120
flow measurement,120
Zeolites,120
Waste generation,120
precipitation,120
Sustainable production,119
Energy conservation,119
Polymers,119
recovery,119
Biowastes,119
Aggregates,119
Recycling process,119
systematic review,119
fertilizer application,118
polymerization,118
consumer,118
technological development,117
questionnaire survey,117
Fuel economy,117
Precipitation (chemical),117
biotransformation,117
Electrodes,116
Building materials,116
E-wastes,116
Water treatment,116
urbanization,116
Mortar,116
environment,116
Construction,115
Oscillators (electronic),115
Morphology,115
Copper,115
Blending,115
Construction sectors,114
Quality control,114
Thermal conductivity,114
Iron,114
Surveys,114
activated carbon,113
Condition,113
oxygen,113
female,113
Fillers,113
pollutant,112
Decarbonisation,112
construction material,112
Steelmaking,112
Mixtures,111
Zero waste,111
Polyurethanes,111
Mechanical recycling,111
Bio-plastics,111
Waste stream,111
packaging waste,111
demolition,111
biomass production,110
fatty acid,110
Recyclables,110
Portland cement,110
Glass,110
Finland,110
Systematic Review,109
manganese,109
Biomolecules,109
waste component removal,109
electronic equipment,108
theoretical study,108
male,108
Ion exchange,107
surface area,107
Binders,107
small and medium-sized enterprise,106
carbon sequestration,106
adult,106
Decision support systems,106
water quality,106
pharmaceutics,106
wood,105
Polyphenols,105
Remanufacturing,105
CO 2 emission,105
Reusability,104
Polyhydroxyalkanoates,104
lithium,104
Metabolism,104
Concretes,104
implementation process,104
growth rate,104
Iron compounds,103
membrane,103
Optimization,103
environmental assessment,103
Microplastics,103
Conservation of Natural Resources,103
Chemicals removal (water treatment),102
Wastewater disposal,102
energy yield,102
cobalt,102
Sweden,102
Energy policy,102
productivity,102
lipid,101
packaging,101
Particle size analysis,101
Technology,101
calcium,101
magnesium,101
waste water recycling,101
Austria,101
Plants (botany),100
Decisions makings,100
multicriteria analysis,100
carbohydrate,100
Automotive industry,100
Reclamation,100
potassium,100
extraction method,100
empirical analysis,100
Sustainable chemistry,100
compressive strength,99
Environmental problems,99
Uncertainty analysis,99
"Biodegradation, Environmental",99
3-D printing,99
Pre-treatments,98
hazardous waste,98
microbial activity,98
energy dispersive X ray spectroscopy,98
aquaculture,98
Built environment,98
aqueous solution,98
adsorbent,98
Solvent extraction,97
porosity,97
decomposition,97
Polyesters,97
Aluminum,97
Incineration,97
Carbon neutralities,97
Durability,97
Information management,96
biofuel production,96
Chemical activation,96
polyethylene,96
Post-consumer,96
Plastic pollutions,96
Greece,96
Aluminum oxide,95
qualitative analysis,95
Fatty acids,95
