relative_historical_path,sha256,size_bytes,original_mtime,classification,contains_scopus_derived_strings,never_overwrite,note
data/raw/scopus_ce_batch1_2017_2021.csv,d2ce24354d9940faf6de1ff5044f99b72b273737f9d9bb2519264504ffdb7246,36807654,2026-04-03 00:47:24.000000000 +0200,HISTORICAL,True,True,"Raw Scopus export, batch 1 (2017-2021), 8862 records"
data/raw/scopus_ce_batch1_2017_2021.ris,16684c1ddc5aae9bb577e255fcd15cd91fc9c4ed70f42a1227dabd2911eec445,27459293,2026-04-03 00:45:28.000000000 +0200,HISTORICAL,True,True,RIS twin of the batch-1 CSV export
data/raw/scopus_ce_batch2_2022_2024.csv,42cc2ec8499e4a2101cdb3e6753f2ea4acefed1121b885214a1c5bf683123c51,77950286,2026-04-03 00:49:18.000000000 +0200,HISTORICAL,True,True,"Raw Scopus export, batch 2 (2022-2024), 17673 records"
data/raw/scopus_ce_batch2_2022_2024.ris,594c54c6ddec0a10a4e7112148e3731e0983913ef21a4a7835159bd48ad74c11,57034435,2026-04-03 00:51:18.000000000 +0200,HISTORICAL,True,True,RIS twin of the batch-2 CSV export
data/interim/scopus_ce_merged_deduped.csv,d56077f13b44be90177470debecee8fb50c8d2bbb91b234902d058bac5da9af1,113263990,2026-04-03 00:54:04.000000000 +0200,HISTORICAL,True,True,"Merged+deduped corpus, 26535 records, 0 duplicates removed"
data/derived/author_keyword_frequencies.csv,8fd003c60195565a6df6d6d5fbe2204d3df179d80cbe2c41cb997a82d8edd829,1278184,2026-04-03 00:54:04.000000000 +0200,HISTORICAL,True,True,55425 unique author keyword strings + frequency
data/derived/index_keyword_frequencies.csv,81acc77355e89f4cda1ed999711917b06ec4740e4446ccf8d36f0f5bd152bef1,1393401,2026-04-03 00:54:04.000000000 +0200,HISTORICAL,True,True,62988 unique index keyword strings + frequency
data/derived/corpus_summary_report.txt,cc4381d65d1f7afe609cefaddaba391e3342e77a4e136c7ee91e5725aa4473c0,1332,2026-04-03 00:54:04.000000000 +0200,CURRENT_AUTHORITATIVE,False,True,Aggregate corpus statistics only; already public on origin/main
data/benchmark/candidate_pairs.csv,245049e42442a87d106652f5cdb0fa8b6186c19a2c734a0256ee2381a0bcd683,36549,2026-04-03 10:39:44.000000000 +0200,HISTORICAL,True,True,"500-pair benchmark candidate pool, pre-annotation"
data/benchmark/candidate_pairs_summary.txt,7d1dea11532fe1952ac65628c2a84e29e372685e8ab63b88426a7e7e770534fd,2353,2026-04-03 10:39:44.000000000 +0200,HISTORICAL,False,True,"Stratum counts only, no keyword strings"
data/benchmark/pilot_pairs.csv,23eb74013a1bfe90b218713240d371f367a5bd6dab88297fbeb12efd9fc6b7b8,3826,2026-04-03 19:01:12.000000000 +0200,HISTORICAL,True,True,"Pilot round pairs (N=52, not the documented 50 — see Phase 0A Task 8)"
data/benchmark/pilot_annotator1.csv,5f0f164fced84c01f40347973511b022c85948a81433bd0e489d194dddd8ae5e,2459,2026-04-03 19:01:12.000000000 +0200,HISTORICAL,True,True,"Blank pilot sheet, annotator 1"
data/benchmark/pilot_annotator1_COMPLETED.csv,8eb92fa5179a88ff24f8fe895b0c66f7d06706b19a06227898fa875d04d66275,6686,2026-04-03 19:43:36.000000000 +0200,HISTORICAL,True,True,"Completed pilot sheet, annotator 1"
data/benchmark/pilot_annotator2.csv,dd7317e5bdc0de90722df27bab90581962ae8f0028d586fa716f5dccd2a34102,2459,2026-04-03 19:01:12.000000000 +0200,HISTORICAL,True,True,"Blank pilot sheet, annotator 2"
data/benchmark/pilot_annotator2_COMPLETED.csv,149ab288c792dfcf5c273e3c8cbc9eddc5f8b00fb014c1290f51cb0d847da806,9849,2026-04-03 19:47:56.000000000 +0200,HISTORICAL,True,True,"Completed pilot sheet, annotator 2"
data/benchmark/annotation_sheet.csv,4b672e830882737aacd4810fbaf8f3cf4fc355be34dca30421a8e3a7fe5fbe3a,24696,2026-04-03 10:39:44.000000000 +0200,HISTORICAL,True,True,Master 500-pair annotation sheet template
data/benchmark/annotation_sheet_annotator1.csv,3b5f821da99bba8eb1195ffbb680103eb28978a3210dfd1ee1c951c82692fc44,23508,2026-04-03 19:01:12.000000000 +0200,HISTORICAL,True,True,"Blank full-round sheet, annotator 1"
data/benchmark/annotation_sheet_annotator1_COMPLETED.csv,b1c5334d6086cb6cea5e61716e8fe7b1c41bce9ffc35fe4ce9f6b4c0a4d13fd2,74239,2026-04-03 21:51:50.000000000 +0200,HISTORICAL,True,True,"Completed full-round sheet, annotator 1"
data/benchmark/annotation_sheet_annotator2.csv,c10d09cf51a8c3f29f525e6cc8d2fb011db3f9cb6ed49402d0701bc4e17a86e0,23508,2026-04-03 19:01:12.000000000 +0200,HISTORICAL,True,True,"Blank full-round sheet, annotator 2"
data/benchmark/annotation_sheet_annotator2_COMPLETED.csv,7839adc5dfeb8bf6b855e2137ee0ed32a0de707356ad7d4940b7ebefb4954469,117498,2026-04-03 21:43:02.000000000 +0200,HISTORICAL,True,True,"Completed full-round sheet, annotator 2"
data/benchmark/disagreement_pairs.csv,1cb81790a66a6f5bf42a77729040173ae1ca58d1b1201a0add455c3a88aa7c9a,17476,2026-04-03 21:52:54.000000000 +0200,HISTORICAL,True,True,57 disagreement pairs pre-adjudication
data/benchmark/adjudication_sheet.csv,fc31b87939eac750d18bf6d0fbabbb75e34182c7c8337325da03168b2e6cd305,22976,2026-04-03 22:20:24.000000000 +0200,HISTORICAL,True,True,"57 disagreement pairs, adjudicator decisions"
data/benchmark/agreement_report.txt,75ad4557b7a807f39304d926d3dc6b1a25fb3650a8aedaac6d670342bb3dd068,3385,2026-04-03 21:52:54.000000000 +0200,CURRENT_AUTHORITATIVE,False,True,Full-round kappa=0.8075 (rounds to 0.81) — independently verified in Phase 0A
data/benchmark/agreement_statistics.csv,b5810dfc22f18da53134dbd5fb89981dd2bb15626718461036b497881007418f,284,2026-04-03 21:52:54.000000000 +0200,CURRENT_AUTHORITATIVE,False,True,Per-stratum agreement statistics
data/benchmark/gold_benchmark.csv,3e56fecc6a0b8b6ed8bd9403f122731d22863d0bd4a8070bf45d5e137ea19535,30711,2026-04-03 22:20:54.000000000 +0200,HISTORICAL,True,True,The 500-pair gold standard itself — the single most important evidence file in the repository
data/benchmark/dev_set.csv,d5713c7974cd6c8fe88633132c9c07b816a9f688f2614e12b02f12dbc4dd282e,21485,2026-04-03 22:20:58.000000000 +0200,HISTORICAL,True,True,"351-pair dev split, seed 42"
data/benchmark/test_set.csv,996248ac3e4a7e6dc65ac027fcca891b9e0c798282df7d2c840f13739e28aae5,9308,2026-04-03 22:20:58.000000000 +0200,HISTORICAL,True,True,"149-pair held-out test split, seed 42 — never touched after first use"
data/benchmark/split_summary.txt,127018599e7f5ed708f88db20b5b8e490dfd529d51759838ab0ed2708b3345f7,1623,2026-04-03 22:20:58.000000000 +0200,CURRENT_AUTHORITATIVE,False,True,Dev/test split methodology and verification
data/benchmark/table3_populated.csv,c9e49b5926fcee45372a48e39f7a068606df49ae3157903244b06b235d528d0e,463,2026-04-03 22:20:54.000000000 +0200,CURRENT_AUTHORITATIVE,False,True,Benchmark composition by stratum and label
data/benchmark/ANNOTATION_CAMPAIGN_GUIDE.md,7abc1efd56ef96aa616142e445d6dc06431dda87e57b517af082f5d2314b2964,8089,2026-04-03 18:58:52.000000000 +0200,HISTORICAL,False,True,Annotation process/logistics document
data/benchmark/ANNOTATION_README.md,fbfb7c7dde9447f9fef583ecd2cbb09526cbe530a25ca6afccc3ce55fc72a72e,4120,2026-04-03 18:58:12.000000000 +0200,HISTORICAL,False,True,Annotation quick-reference; self-discloses the 50-vs-53 pilot rounding issue
results/llm_logs/dev_workflow_raw_outputs.jsonl,52eb5d9e1560909c5f4b3c474307d95fbea0210d6088c87d2b3376963cd5a62b,370356,2026-04-04 00:03:58.000000000 +0200,CORRUPTED_METADATA_VALID_PAYLOAD,True,True,Raw model text intact (99.7% valid JSON); stored guard/decision metadata corrupted for all 351 valid rows — see Phase 0A Task 4 / Phase 0B Task 4
results/llm_logs/test_raw_outputs.jsonl,b0c0198c6ad5cc028345791662bfff69e5eaf5c43316378b983ea3fa43b0c601,195372,2026-04-04 00:15:58.000000000 +0200,CLEAN,True,True,0/149 guard failures; feeds the headline test-set results
results/llm_logs/b6_dev_raw_outputs.jsonl,19929684e51ef002e7cb4e8498f771b14423164129b79bf78200575b9a335fb0,277867,2026-04-03 23:45:38.000000000 +0200,CLEAN,True,True,"B6 naive-LLM baseline, dev set"
results/llm_logs/b6_test_raw_outputs.jsonl,1eb8667a76482f0c482908ac95623e69d2fb2e27532260cf6d224619b1897ba2,119452,2026-04-03 23:49:54.000000000 +0200,CLEAN,True,True,"B6 naive-LLM baseline, test set"
results/llm_logs/ablation_A2_raw_outputs.jsonl,737af3ba4b5f76d303b34050e076e6a197dfbc967e4c49c3a2ee13ac317c1fea,107048,2026-04-04 00:20:42.000000000 +0200,CLEAN,True,True,Ablation A2 (binary forced) raw log
results/llm_logs/ablation_A4_raw_outputs.jsonl,5931c045825f2c74f88a9aa38ab208e66a06f3ba21a3fa1202489adb22e19f82,137410,2026-04-04 00:24:48.000000000 +0200,CLEAN,True,True,Ablation A4 (simplified prompt) raw log
results/llm_logs/downstream_deterministic_completions.jsonl,e79000a15a42ce9189f51c181334cf3c184f808e2a185dbfa25e80622a91d7a0,2191517,2026-04-04 16:17:20.000000000 +0200,HISTORICAL,True,True,"5196 scope-policy deterministic completions, strata iv/v"
results/llm_logs/downstream_raw_outputs.jsonl,275ae78f874b03be1b72fac9aa0b729b1e50219b19d1178e870a8ce796b2af1b,52522782,2026-04-04 12:16:24.000000000 +0200,HISTORICAL,True,True,"Original downstream run, 122023 raw lines (9709 real LLM calls)"
results/llm_logs/downstream_fix_raw_outputs.jsonl,d88764b44243ac85a1e625e31a29d9bd403dab6fe6adfed35387c0c0f8ba8351,28298545,2026-04-04 16:12:58.000000000 +0200,HISTORICAL,True,True,"Fix-run, 54063 raw attempts (31251 succeeded, 22530 api_failed)"
results/test_results.csv,455015c05528d070b6e30164e381af4320d215e1aec9699567f5e0dbca600839,456,2026-04-04 00:15:58.000000000 +0200,CURRENT_AUTHORITATIVE,False,True,"Table 6 equivalent — all 7 methods, test set. Independently re-verified twice (Phase 0A and 0B)"
results/test_results_baselines.csv,279524a27b4ba620a55e0cc1d961dc3140523bdac59a76a78103e67cd8343fd1,395,2026-04-03 23:49:54.000000000 +0200,CURRENT_AUTHORITATIVE,False,True,Baseline-only subset of test_results.csv
results/test_results_summary.txt,122ed5c96153debd6392c70f0d78f11e0d38927e1b5084f0924f38de2099c575,1008,2026-04-04 00:15:58.000000000 +0200,CURRENT_AUTHORITATIVE,False,True,Formatted Table 6 with cost/threshold/model footer
results/test_predictions.csv,049453d4ad960fea8ca81f7157724f914c4967fadd172ecbab6b792fcc708aef,16610,2026-04-04 00:15:58.000000000 +0200,HISTORICAL,True,True,"Frozen per-pair predictions, all 7 methods — the source for every P/R/F1 recomputation"
results/test_predictions_baselines.csv,af792dc8a55ea21e2a5f9c20a15d614299ed3aa296b1b3b103dd427f178f38e1,15279,2026-04-03 23:49:54.000000000 +0200,HISTORICAL,True,True,Baseline-only subset of test_predictions.csv
results/dev_results_baselines.csv,1c8567d9dd14c5b09f7ce258ce381265e1840ed70242a11f7d44f4a43509217c,387,2026-04-03 23:45:38.000000000 +0200,CURRENT_AUTHORITATIVE,False,True,Baseline dev-set tuning results
results/dev_results_full_workflow.csv,f50ae85237f4af0074bd1f1e559af7dc255e977a47ba4df5ad1c9af25e71f9fd,198,2026-04-04 00:12:38.000000000 +0200,CURRENT_AUTHORITATIVE,False,True,with_guard row correct; no_guard row is a known artefact of the dev-log metadata corruption (Task 4)
results/tuned_thresholds.json,87715a443597ffa697551968d3a5784d4c4978fb539087cc94bdce7230849836,340,2026-04-04 00:12:38.000000000 +0200,CURRENT_AUTHORITATIVE,False,True,All 4 tuned thresholds (B3/B4/B5/guard) — independently re-verified
results/ablation_results.csv,f4c0188a71467f3a64161b87528e864498a1f1fc69a6ab1626d5aa525f5368d4,375,2026-04-04 00:24:48.000000000 +0200,CURRENT_AUTHORITATIVE,False,True,A1-A4 ablation deltas — independently re-verified
results/ablation_results_summary.txt,0ee8fe00b59d04ed06fbcb713a1cd67e0d55d3dc26c25827194db4cf5e12f3f4,685,2026-04-04 00:24:48.000000000 +0200,CURRENT_AUTHORITATIVE,False,True,Formatted ablation table
results/error_analysis.csv,4688af016445cf5ecbd558735dafccd4c5d8efd06ac4b1ea72c4b0f54f2115dc,55388,2026-04-04 00:25:32.000000000 +0200,HISTORICAL,True,True,Per-pair error classification with example keyword strings
results/error_analysis_summary.txt,8a9a685c30ae5c52c85256b22cedfd8d51bab392a74a5a8600dba5c17ac3b4e0,3447,2026-04-04 00:25:32.000000000 +0200,CURRENT_AUTHORITATIVE,True,True,Aggregate counts + a small number of named example pairs (e.g. timber/lumber)
results/downstream_results.csv,e75becea2676720102ff7a82a385c90893440e94edb98ea41ff7bde461c735e9,263,2026-04-04 18:40:14.000000000 +0200,CURRENT_AUTHORITATIVE,False,True,Main downstream table — vocab/edges/density confirmed exact by independent reconstruction; Q/ARI/AMI shown rerun-sensitive (Phase 0A Task 5D)
results/downstream_results_summary.txt,27cea36049832811a70552018b065c0beae0651fb6b356812def457dacd8f783,2441,2026-04-04 18:40:14.000000000 +0200,CURRENT_AUTHORITATIVE,False,True,"Contains one self-inconsistent subtotal (fix-run count mislabeling, Phase 0A Task 15/28) — otherwise authoritative"
results/downstream_qualitative_examples.txt,ddc2bcaad8236b4b14ba4963d925c3f636cb233e6c2e6991a30ab2f01361f4d4,14647,2026-04-04 18:40:14.000000000 +0200,HISTORICAL,True,True,Worked cluster examples with real keyword strings — ground truth for the 194 / 56 / 216 / 214 / 57 figures
results/downstream_cost_estimate.txt,7913f4054a1c771cd338bf0a364f9c8f623e09c41ff9e485fe724aadb2fc5afa,748,2026-04-04 00:25:42.000000000 +0200,HISTORICAL,False,True,Pre-run cost estimate; contains a dead-code $0.0000 test-cost line
outputs/harmonisation_maps/raw_map.csv,239e0ae317014f6847bfcb4494c12a740eee080d21df76ef70f4852b9efa800d,3498755,2026-04-07 11:18:26.000000000 +0200,STALE,True,True,"Copy of results/downstream_harmonisation_maps/raw_map.csv, Apr 4 checkpoint; retained as evidence of the bug"
