	Circular economy	Sustainability	Recycling	Environmental sustainability	Waste management	Life cycle assessment	Plastic waste	Wastewater	Resource recovery	industrial ecology	Industry 4.0	Anaerobic digestion	Material flow analysis	Waste	Biomass	Reuse	Bioeconomy	Municipal solid waste	Business model	Remanufacturing	Food waste	Construction	Renewable energy	Biorefinery	Agriculture	Wastewater treatment	Composting	Pyrolysis	Nutrient recovery	Circular business models	Climate change	Biochar	Adsorption	Resource efficiency	Sustainable development goals	Biogas	Industrial symbiosis	Waste valorization	Bibliometric analysis	CO<sub>2</sub> emissions	LCA	Waste-to-energy	Innovation	Food supply chain	by-products	Barriers	Construction and demolition waste	Supply chain	End-of-life	Valorization	Biofuels	E-waste	Microalgae	Mechanical properties	Greenhouse gas emissions	Bioenergy	Hydrogen	Closed-loop supply chain	Critical raw materials	Lithium-ion batteries	Sewage sludge	Reverse logistics	Digitalization	polyphenols	Decision-making	Machine learning	Circular supply chain	Heavy metals	Biodegradable	Systematic literature review	bioactive compounds	COVID-19	Textile waste	Bioplastics	Packaging	Literature review	Product-service system	Biowaste	China	Chemical recycling	Indicators	Techno-economic analysis	Recovery	Energy	Biopolymers	Carbon footprint	Lignocellulosic biomass	3D printing	antioxidants	Supply chain management	Case study	Additive manufacturing	Upcycling	Electric vehicles	Waste recycling	Policy	Eco-design	Optimization	Green chemistry	Consumer behavior
Circular economy	0	3755	1184	798	800	701	383	260	339	352	332	194	304	243	169	285	252	202	295	271	217	263	208	178	187	160	129	118	172	237	181	105	91	205	162	133	193	130	137	110	147	147	158	141	107	182	138	154	143	89	90	111	75	53	95	98	48	118	120	107	80	124	111	78	108	71	117	38	67	110	64	93	98	84	92	102	120	60	84	84	113	72	71	86	60	83	42	77	50	89	106	79	76	78	69	91	103	63	71	94
Sustainability	3755	0	326	362	260	187	78	60	82	98	159	32	60	62	47	62	113	48	132	94	74	82	85	48	76	30	32	20	23	98	78	26	8	87	57	25	60	42	90	23	58	50	101	65	30	65	30	62	23	34	33	38	18	27	29	28	18	52	22	25	11	41	48	10	44	27	57	8	34	53	23	47	39	22	26	64	38	16	19	8	49	19	11	39	27	24	19	34	18	48	33	36	34	27	22	34	29	19	31	35
Recycling	1184	326	0	92	174	105	119	36	23	45	3	3	70	69	13	124	8	54	16	31	7	36	18	5	6	1	38	18	6	4	12	4	1	24	9	2	13	10	6	10	27	13	9	2	12	4	50	11	49	6	1	47	1	29	12	2	5	4	40	47	4	12	5	11	7	13	2	2	16	4	1	2	32	10	23	8	3	4	7	6	2	7	33	6	5	13	0	39	3	3	8	34	17	25	1	12	14	9	8	10
Environmental sustainability	798	362	92	0	78	149	36	26	28	36	14	15	19	26	11	24	10	19	18	19	19	16	27	6	21	12	10	10	8	8	33	10	6	25	21	4	6	12	16	9	30	12	18	10	5	4	9	8	8	5	6	11	4	3	10	3	5	5	4	8	4	4	7	0	5	5	3	6	4	12	0	11	7	7	9	8	8	7	7	3	8	7	8	12	5	16	4	5	1	8	6	7	5	4	5	9	13	2	3	10
Waste management	800	260	174	78	0	48	48	27	25	21	6	29	31	12	14	25	16	61	8	6	20	25	20	6	19	6	21	18	8	1	10	4	6	23	16	16	14	9	12	5	9	28	4	4	3	8	26	9	18	9	6	12	2	6	10	5	2	7	5	7	7	12	8	3	13	11	0	3	6	3	1	13	13	13	8	4	3	10	5	3	5	2	7	9	2	5	2	1	1	5	4	1	3	2	2	9	3	5	9	4
Life cycle assessment	701	187	105	149	48	0	42	12	19	38	4	18	44	15	12	29	19	18	4	12	18	26	13	21	7	6	10	14	7	5	26	8	1	21	5	10	9	15	3	11	23	19	0	8	5	0	22	5	18	2	6	1	3	2	32	14	6	0	2	4	5	1	3	4	3	6	0	2	1	3	0	1	7	16	8	12	10	10	1	16	6	31	2	2	0	20	3	5	0	1	3	9	6	7	5	5	22	11	6	1
Plastic waste	383	78	119	36	48	42	0	9	6	12	1	1	17	21	11	9	5	6	2	5	2	2	4	1	3	1	6	41	0	3	6	1	4	4	1	1	2	5	3	5	13	2	3	0	0	3	1	5	5	6	2	3	0	6	9	0	8	2	0	0	3	3	2	11	2	7	2	2	12	0	0	11	3	14	15	0	0	0	4	38	1	10	5	4	5	9	3	9	1	0	0	4	11	1	4	4	2	2	1	5
Wastewater	260	60	36	26	27	12	9	0	34	7	2	9	6	5	13	8	4	9	0	2	5	8	2	7	15	11	5	9	26	0	4	8	17	1	6	8	5	6	3	7	6	6	0	2	4	3	2	0	2	7	8	2	30	3	1	6	2	0	2	3	12	1	2	2	6	1	0	10	0	0	3	3	1	2	2	0	0	2	3	1	4	2	6	12	2	0	1	1	0	0	2	1	1	2	3	4	0	4	0	0
Resource recovery	339	82	23	28	25	19	6	34	0	10	5	18	14	14	2	7	3	5	3	1	8	7	5	4	1	34	1	2	18	4	11	2	9	1	4	2	7	5	6	3	5	2	4	3	0	1	2	1	4	3	1	3	6	0	3	5	2	1	7	3	9	4	5	1	4	1	2	3	1	1	0	5	0	2	0	2	3	4	0	0	4	4	2	6	2	4	0	0	1	0	0	0	1	0	2	4	1	2	1	0
industrial ecology	352	98	45	36	21	38	12	7	10	0	1	2	43	6	4	10	7	8	5	6	3	8	6	0	3	4	1	1	1	7	2	0	1	12	5	3	36	3	4	5	4	3	4	3	2	3	1	0	0	3	1	4	1	2	5	0	0	4	6	3	0	0	3	0	3	5	1	0	0	4	1	0	2	3	1	4	7	1	9	2	3	3	1	1	1	3	0	1	0	0	2	2	3	1	2	2	1	3	3	4
Industry 4.0	332	159	3	14	6	4	1	2	5	1	0	0	3	3	0	3	0	5	10	27	1	6	2	2	3	1	0	0	0	9	1	0	1	4	14	0	6	0	10	0	1	2	9	7	0	8	1	19	1	0	0	0	0	0	1	0	0	5	0	1	0	10	32	0	8	4	12	0	0	9	0	6	0	0	0	7	6	0	0	0	3	0	0	3	0	1	0	9	1	11	3	7	0	0	1	1	3	3	0	0
Anaerobic digestion	194	32	3	15	29	18	1	9	18	2	0	0	0	5	12	2	11	15	2	0	42	1	17	16	13	10	22	13	28	0	4	19	2	1	2	71	2	7	0	2	5	21	1	2	2	0	0	0	0	3	14	0	12	2	7	25	4	1	0	0	17	0	0	0	1	2	0	2	2	0	2	0	1	6	0	1	0	11	0	1	0	8	1	6	2	1	5	0	1	1	1	0	1	0	0	0	0	1	0	0
Material flow analysis	304	60	70	19	31	44	17	6	14	43	3	0	0	4	3	15	3	7	3	6	2	16	1	0	0	2	3	1	2	2	5	1	0	14	3	2	2	0	0	1	10	5	0	2	1	1	6	3	8	0	0	6	0	1	3	0	1	0	10	7	1	0	3	0	3	1	0	1	0	1	0	0	4	1	7	0	0	0	6	2	1	0	4	10	0	2	0	2	0	0	2	2	2	6	1	3	2	1	2	0
Waste	243	62	69	26	12	15	21	5	14	6	3	5	4	0	13	17	6	3	2	4	1	11	5	12	10	2	9	4	3	1	7	9	3	1	0	5	6	0	3	2	2	7	1	3	4	1	3	5	4	7	3	2	0	4	3	4	5	1	0	0	2	2	2	4	3	0	0	2	1	1	5	4	5	1	7	1	1	1	1	1	2	2	7	11	5	0	1	4	3	0	0	1	2	0	1	3	2	1	2	2
Biomass	169	47	13	11	14	12	11	13	2	4	0	12	3	13	0	1	22	6	0	0	4	3	16	28	12	7	3	13	4	0	4	16	11	1	4	10	1	5	1	14	0	13	1	3	6	0	0	1	0	3	23	1	10	1	4	24	8	0	0	1	3	0	0	1	0	1	0	5	5	0	5	0	0	1	1	0	0	3	1	1	1	3	2	8	6	2	8	2	1	1	0	1	0	0	1	0	0	2	4	0
Reuse	285	62	124	24	25	29	9	8	7	10	3	2	15	17	1	0	0	1	4	27	1	18	3	0	3	6	2	0	0	3	2	1	5	13	2	2	3	2	1	0	5	0	0	1	7	1	9	4	9	1	1	3	0	0	3	0	0	2	3	5	0	3	1	1	1	1	0	1	0	3	0	1	7	0	12	1	3	0	0	1	1	0	12	1	0	2	0	0	0	0	3	0	4	6	0	3	1	2	0	2
Bioeconomy	252	113	8	10	16	19	5	4	3	7	0	11	3	6	22	0	0	1	15	0	14	0	6	21	17	2	2	3	4	5	7	1	0	5	9	6	2	4	5	3	3	3	12	4	2	0	0	3	2	1	9	0	5	1	7	15	2	0	1	0	1	0	1	1	0	2	0	0	6	1	3	2	0	17	1	1	0	8	2	0	7	4	1	3	1	3	5	0	1	0	0	1	2	1	0	2	1	0	3	1
Municipal solid waste	202	48	54	19	61	18	6	9	5	8	5	15	7	3	6	1	1	0	0	0	4	1	9	2	4	1	13	9	1	0	3	0	0	1	9	4	0	3	3	2	2	37	1	0	0	3	1	0	5	2	2	1	0	0	6	7	0	0	1	0	0	1	1	1	1	7	0	1	2	1	0	4	4	1	2	1	0	7	4	1	1	2	4	2	0	0	0	0	0	0	3	0	0	0	3	6	0	1	0	1
Business model	295	132	16	18	8	4	2	0	3	5	10	2	3	2	0	4	15	0	0	11	3	7	6	0	1	0	0	0	0	41	2	0	0	9	9	2	1	1	8	1	0	1	19	4	0	9	0	13	1	0	0	2	0	0	1	0	0	3	0	3	0	1	11	0	3	2	8	0	0	7	0	1	2	0	0	8	16	1	1	0	0	0	0	0	0	0	0	2	0	4	11	1	2	3	0	4	0	1	0	1
Remanufacturing	271	94	31	19	6	12	5	2	1	6	27	0	6	4	0	27	0	0	11	0	0	1	0	0	1	0	2	0	0	11	1	0	0	7	3	0	2	0	4	0	0	0	3	0	4	6	1	6	8	0	0	6	0	0	0	0	0	31	1	6	0	11	4	0	11	3	2	0	0	3	0	1	1	0	0	5	9	0	2	1	2	0	1	1	0	0	0	2	0	6	8	9	3	5	0	4	2	2	0	4
Food waste	217	74	7	19	20	18	2	5	8	3	1	42	2	1	4	1	14	4	3	0	0	1	4	14	4	1	13	3	6	0	0	4	0	3	3	14	3	6	9	0	5	5	2	16	2	0	0	7	0	9	4	1	5	1	2	3	2	0	0	1	2	0	0	0	0	0	0	2	2	5	6	4	1	5	2	3	0	10	0	0	0	5	1	2	1	2	1	0	3	2	2	0	5	0	2	4	0	1	4	3
Construction	263	82	36	16	25	26	2	8	7	8	6	1	16	11	3	18	0	1	7	1	1	0	0	0	0	1	1	1	1	3	5	2	1	7	0	0	3	2	8	6	4	0	4	0	2	10	18	4	5	1	0	0	0	0	3	0	0	0	0	0	1	4	4	0	2	4	0	1	0	6	0	1	0	0	1	7	4	0	0	0	2	0	1	3	0	1	0	1	0	2	3	1	1	0	1	3	2	2	0	1
Renewable energy	208	85	18	27	20	13	4	2	5	6	2	17	1	5	16	3	6	9	6	0	4	0	0	7	8	2	1	3	1	3	13	1	0	3	5	21	1	2	3	10	2	15	2	3	2	0	0	0	3	0	15	2	3	0	9	13	1	0	4	1	2	0	2	0	3	2	0	0	0	2	0	1	1	2	0	2	1	1	3	0	1	0	1	2	2	1	1	0	0	0	0	2	1	2	1	0	1	2	0	0
Biorefinery	178	48	5	6	6	21	1	7	4	0	2	16	0	12	28	0	21	2	0	0	14	0	7	0	3	6	0	5	3	1	0	4	1	0	3	17	0	9	1	0	4	1	1	2	5	0	0	0	0	9	28	0	12	0	2	17	6	0	0	0	5	0	0	4	2	2	0	1	1	0	4	1	0	5	0	0	0	7	0	0	1	15	1	6	9	3	20	0	6	0	0	0	1	0	0	2	1	3	6	0
Agriculture	187	76	6	21	19	7	3	15	1	3	3	13	0	10	12	3	17	4	1	1	4	0	8	3	0	5	10	3	13	0	3	10	3	0	3	9	1	2	3	1	2	2	2	9	1	4	0	3	1	1	2	1	5	3	6	7	3	1	1	0	4	0	2	1	2	1	0	0	1	0	1	4	2	4	2	1	0	2	2	0	1	1	1	3	2	0	5	2	1	0	1	0	1	0	4	2	1	1	1	0
Wastewater treatment	160	30	1	12	6	6	1	11	34	4	1	10	2	2	7	6	2	1	0	0	1	1	2	6	5	0	0	6	19	0	3	4	20	0	1	7	1	2	1	6	1	7	1	1	1	0	2	0	0	1	2	1	22	0	0	1	1	0	0	0	15	0	0	1	1	1	1	11	0	0	0	0	0	1	0	0	0	1	0	0	1	2	0	1	2	2	0	0	0	0	1	0	2	0	2	0	0	0	0	0
Composting	129	32	38	10	21	10	6	5	1	1	0	22	3	9	3	2	2	13	0	2	13	1	1	0	10	0	0	7	7	0	1	7	4	0	1	2	0	7	0	1	4	4	0	2	0	0	0	0	1	2	1	0	2	15	3	0	1	0	0	0	9	0	0	2	0	1	0	3	11	0	0	0	3	8	1	1	0	8	0	2	0	1	1	0	5	1	0	3	1	0	1	6	2	0	1	0	1	2	0	0
Pyrolysis	118	20	18	10	18	14	41	9	2	1	0	13	1	4	13	0	3	9	0	0	3	1	3	5	3	6	7	0	3	0	0	43	8	0	2	3	2	9	0	7	5	13	0	3	1	0	0	0	7	2	8	1	1	0	1	0	6	1	0	0	8	0	0	5	0	1	0	3	1	0	0	3	2	2	0	0	0	1	0	23	0	3	2	2	1	1	4	0	2	0	0	0	2	1	1	0	1	3	1	0
