keyword,frequency,condition
Circular economy,14811,B3 Jaro-Winkler
Sustainability,5297,B3 Jaro-Winkler
Recycling,1899,B3 Jaro-Winkler
Environmental sustainability,1324,B3 Jaro-Winkler
Waste management,1103,B3 Jaro-Winkler
Life cycle assessment,1021,B3 Jaro-Winkler
Plastic waste,614,B3 Jaro-Winkler
Wastewater,497,B3 Jaro-Winkler
Resource recovery,491,B3 Jaro-Winkler
industrial ecology,489,B3 Jaro-Winkler
Industry 4.0,424,B3 Jaro-Winkler
Anaerobic digestion,423,B3 Jaro-Winkler
Material flow analysis,421,B3 Jaro-Winkler
Waste,389,B3 Jaro-Winkler
Biomass,372,B3 Jaro-Winkler
Reuse,364,B3 Jaro-Winkler
Bioeconomy,357,B3 Jaro-Winkler
Municipal solid waste,357,B3 Jaro-Winkler
Business model,354,B3 Jaro-Winkler
Remanufacturing,352,B3 Jaro-Winkler
Food waste,350,B3 Jaro-Winkler
Construction,350,B3 Jaro-Winkler
Renewable energy,349,B3 Jaro-Winkler
Biorefinery,321,B3 Jaro-Winkler
Agriculture,317,B3 Jaro-Winkler
Wastewater treatment,299,B3 Jaro-Winkler
Composting,298,B3 Jaro-Winkler
Pyrolysis,288,B3 Jaro-Winkler
Nutrient recovery,286,B3 Jaro-Winkler
Circular business models,280,B3 Jaro-Winkler
Climate change,280,B3 Jaro-Winkler
Biochar,256,B3 Jaro-Winkler
Adsorption,255,B3 Jaro-Winkler
Resource efficiency,254,B3 Jaro-Winkler
Sustainable development goals,247,B3 Jaro-Winkler
Biogas,247,B3 Jaro-Winkler
Industrial symbiosis,243,B3 Jaro-Winkler
Waste valorization,240,B3 Jaro-Winkler
Bibliometric analysis,236,B3 Jaro-Winkler
CO<sub>2</sub> emissions,234,B3 Jaro-Winkler
LCA,232,B3 Jaro-Winkler
Waste-to-energy,223,B3 Jaro-Winkler
Innovation,215,B3 Jaro-Winkler
Food supply chain,212,B3 Jaro-Winkler
by-products,209,B3 Jaro-Winkler
Barriers,206,B3 Jaro-Winkler
Construction and demolition waste,199,B3 Jaro-Winkler
Supply chain,196,B3 Jaro-Winkler
End-of-life,193,B3 Jaro-Winkler
Valorization,185,B3 Jaro-Winkler
Biofuels,182,B3 Jaro-Winkler
E-waste,179,B3 Jaro-Winkler
Microalgae,178,B3 Jaro-Winkler
Mechanical properties,177,B3 Jaro-Winkler
Greenhouse gas emissions,176,B3 Jaro-Winkler
Bioenergy,174,B3 Jaro-Winkler
Hydrogen,174,B3 Jaro-Winkler
Closed-loop supply chain,165,B3 Jaro-Winkler
Critical raw materials,164,B3 Jaro-Winkler
Lithium-ion batteries,164,B3 Jaro-Winkler
Sewage sludge,161,B3 Jaro-Winkler
Reverse logistics,161,B3 Jaro-Winkler
Digitalization,157,B3 Jaro-Winkler
polyphenols,154,B3 Jaro-Winkler
Decision-making,151,B3 Jaro-Winkler
Machine learning,150,B3 Jaro-Winkler
Circular supply chain,150,B3 Jaro-Winkler
Heavy metals,147,B3 Jaro-Winkler
Biodegradable,146,B3 Jaro-Winkler
Systematic literature review,146,B3 Jaro-Winkler
bioactive compounds,144,B3 Jaro-Winkler
COVID-19,143,B3 Jaro-Winkler
Textile waste,142,B3 Jaro-Winkler
Bioplastics,142,B3 Jaro-Winkler
Packaging,141,B3 Jaro-Winkler
Literature review,139,B3 Jaro-Winkler
Product-service system,139,B3 Jaro-Winkler
Biowaste,135,B3 Jaro-Winkler
China,134,B3 Jaro-Winkler
Chemical recycling,133,B3 Jaro-Winkler
Indicators,132,B3 Jaro-Winkler
Techno-economic analysis,132,B3 Jaro-Winkler
Recovery,132,B3 Jaro-Winkler
Energy,132,B3 Jaro-Winkler
Biopolymers,130,B3 Jaro-Winkler
Carbon footprint,130,B3 Jaro-Winkler
Lignocellulosic biomass,128,B3 Jaro-Winkler
3D printing,128,B3 Jaro-Winkler
antioxidants,128,B3 Jaro-Winkler
Supply chain management,126,B3 Jaro-Winkler
Case study,126,B3 Jaro-Winkler
Additive manufacturing,126,B3 Jaro-Winkler
Upcycling,124,B3 Jaro-Winkler
Electric vehicles,123,B3 Jaro-Winkler
Waste recycling,123,B3 Jaro-Winkler
Policy,121,B3 Jaro-Winkler
Eco-design,121,B3 Jaro-Winkler
Optimization,121,B3 Jaro-Winkler
Green chemistry,120,B3 Jaro-Winkler
Consumer behavior,119,B3 Jaro-Winkler
