keyword_a	keyword_b	weight
Circular economy	Sustainability	3755
Circular economy	Recycling	1184
Circular economy	Life cycle assessment	875
Circular economy	Waste management	800
Circular economy	Environmental sustainability	798
Circular economy	Plastic waste	383
Environmental sustainability	Sustainability	362
Circular economy	industrial ecology	352
Circular economy	Resource recovery	339
Circular economy	Industry 4.0	332
Recycling	Sustainability	326
Circular economy	Material flow analysis	304
Business model	Circular economy	295
Circular economy	Reuse	285
Circular economy	Remanufacturing	271
Life cycle assessment	Sustainability	264
Circular economy	Construction	263
Circular economy	Wastewater	260
Sustainability	Waste management	260
Bioeconomy	Circular economy	252
Circular economy	Waste	243
Circular business models	Circular economy	237
Circular economy	Food waste	217
Circular economy	Renewable energy	208
Circular economy	Resource efficiency	205
Circular economy	Municipal solid waste	202
Anaerobic digestion	Circular economy	194
Circular economy	Industrial symbiosis	193
Agriculture	Circular economy	187
Environmental sustainability	Life cycle assessment	185
Barriers	Circular economy	182
Circular economy	Climate change	181
Biorefinery	Circular economy	178
Recycling	Waste management	174
Circular economy	Nutrient recovery	172
Biomass	Circular economy	169
Circular economy	Sustainable development goals	162
Circular economy	Wastewater treatment	160
Industry 4.0	Sustainability	159
Circular economy	Innovation	158
Circular economy	Supply chain	154
Circular economy	Waste-to-energy	147
Circular economy	SMEs	145
Circular economy	Construction and demolition waste	145
Circular economy	End-of-life	143
Circular economy	Food supply chain	141
Bibliometric analysis	Circular economy	137
Life cycle assessment	Recycling	133
Biogas	Circular economy	133
Business model	Sustainability	132
Circular economy	Waste valorization	130
Circular economy	Composting	129
Recycling	Reuse	124
Circular economy	Reverse logistics	124
Circular economy	Critical raw materials	120
Circular economy	Product-service system	120
Plastic waste	Recycling	119
Circular economy	Pyrolysis	118
Circular economy	Closed-loop supply chain	118
Circular economy	Circular supply chain	117
Circular economy	Indicators	113
Bioeconomy	Sustainability	113
Circular economy	European Union	112
Circular economy	WEEE	111
Circular economy	E-waste	111
Circular economy	Digitalization	111
Circular economy	Systematic literature review	110
CO<sub>2</sub> emissions	Circular economy	110
Circular economy	Decision-making	108
Circular economy	by-products	107
Circular economy	Lithium-ion batteries	107
Case study	Circular economy	106
Biochar	Circular economy	105
Circular economy	Eco-design	103
Circular economy	Literature review	102
Innovation	Sustainability	101
Circular economy	Textile waste	98
Bioenergy	Circular economy	98
Sustainability	industrial ecology	98
Circular business models	Sustainability	98
Circular economy	Greenhouse gas emissions	95
Remanufacturing	Sustainability	94
COVID-19	Circular economy	93
Environmental sustainability	Recycling	92
Circular economy	Packaging	92
Adsorption	Circular economy	91
Circular economy	Policy	91
Biofuels	Circular economy	90
Bibliometric analysis	Sustainability	90
Circular economy	Sewage sludge	90
Circular economy	Supply chain management	89
Circular economy	Valorization	89
Resource efficiency	Sustainability	87
Circular economy	Energy	86
Renewable energy	Sustainability	85
Bioplastics	Circular economy	84
Chemical recycling	Circular economy	84
China	Circular economy	84
Carbon footprint	Circular economy	83
Construction	Sustainability	82
Resource recovery	Sustainability	82
Additive manufacturing	Circular economy	79
Circular economy	Electric vehicles	78
Circular economy	polyphenols	78
Climate change	Sustainability	78
Plastic waste	Sustainability	78
Environmental sustainability	Waste management	78
3D printing	Circular economy	77
Circular economy	Upcycling	76
Agriculture	Sustainability	76
Circular economy	Microalgae	75
Food waste	Sustainability	74
Circular economy	Techno-economic analysis	72
Circular economy	Machine learning	71
Anaerobic digestion	Biogas	71
Circular economy	Recovery	71
Material flow analysis	Recycling	70
Circular economy	Waste recycling	69
Recycling	Waste	69
Biodegradable	Circular economy	67
Food supply chain	Sustainability	65
Barriers	Sustainability	65
Literature review	Sustainability	64
Circular economy	bioactive compounds	64
Circular economy	Optimization	63
Reuse	Sustainability	62
Sustainability	Waste	62
Supply chain	Sustainability	62
Municipal solid waste	Waste management	61
Material flow analysis	Sustainability	60
Industrial symbiosis	Sustainability	60
Sustainability	Wastewater	60
Biopolymers	Circular economy	60
Biowaste	Circular economy	60
Life cycle assessment	Plastic waste	59
Life cycle assessment	Waste management	59
Life cycle assessment	Material flow analysis	58
Sustainability	Sustainable development goals	57
Circular supply chain	Sustainability	57
Construction and demolition waste	Recycling	54
Municipal solid waste	Recycling	54
Sustainability	Systematic literature review	53
Circular economy	Mechanical properties	53
Closed-loop supply chain	Sustainability	52
SMEs	Sustainability	51
Circular economy	antioxidants	50
Sustainability	Waste-to-energy	50
End-of-life	Recycling	49
Indicators	Sustainability	49
Municipal solid waste	Sustainability	48
Plastic waste	Waste management	48
Circular economy	Hydrogen	48
Supply chain management	Sustainability	48
Digitalization	Sustainability	48
Biorefinery	Sustainability	48
Lithium-ion batteries	Recycling	47
COVID-19	Sustainability	47
E-waste	Recycling	47
Biomass	Sustainability	47
Recycling	industrial ecology	45
Life cycle assessment	industrial ecology	44
Recycling	WEEE	44
Decision-making	Sustainability	44
Material flow analysis	industrial ecology	43
Biochar	Pyrolysis	43
Anaerobic digestion	Food waste	42
Sustainability	Waste valorization	42
Circular economy	Lignocellulosic biomass	42
Plastic waste	Pyrolysis	41
Business model	Circular business models	41
Reverse logistics	Sustainability	41
Life cycle assessment	Techno-economic analysis	40
Critical raw materials	Recycling	40
Sustainability	Textile waste	39
Energy	Sustainability	39
3D printing	Recycling	39
Circular economy	Heavy metals	38
Product-service system	Sustainability	38
Composting	Recycling	38
E-waste	Sustainability	38
Chemical recycling	Plastic waste	38
3D printing	Additive manufacturing	38
Municipal solid waste	Waste-to-energy	37
Industrial symbiosis	industrial ecology	36
Recycling	Wastewater	36
European Union	Sustainability	36
Environmental sustainability	Plastic waste	36
Construction	Recycling	36
Environmental sustainability	industrial ecology	36
Additive manufacturing	Sustainability	36
Life cycle assessment	Reuse	35
Resource recovery	Wastewater	34
Resource recovery	Wastewater treatment	34
Sustainability	Valorization	34
3D printing	Sustainability	34
Sustainability	Upcycling	34
Policy	Sustainability	34
Biodegradable	Sustainability	34
Additive manufacturing	Recycling	34
Climate change	Environmental sustainability	33
Construction and demolition waste	Sustainability	33
Case study	Sustainability	33
Greenhouse gas emissions	Life cycle assessment	33
Construction	Life cycle assessment	33
Biofuels	Sustainability	33
Recovery	Recycling	33
Recycling	Textile waste	32
Digitalization	Industry 4.0	32
Composting	Sustainability	32
Anaerobic digestion	Sustainability	32
Material flow analysis	Waste management	31
Climate change	Life cycle assessment	31
Electric vehicles	Lithium-ion batteries	31
Recycling	Remanufacturing	31
Closed-loop supply chain	Remanufacturing	31
Sustainability	Wastewater treatment	30
Sustainability	by-products	30
Adsorption	Biochar	30
Microalgae	Wastewater	30
Eco-design	Sustainability	29
Anaerobic digestion	Waste management	29
Mechanical properties	Recycling	29
Greenhouse gas emissions	Sustainability	29
Biomass	Biorefinery	28
Construction and demolition waste	Waste management	28
Environmental sustainability	Resource recovery	28
Eco-design	Life cycle assessment	28
Biofuels	Biorefinery	28
Anaerobic digestion	Nutrient recovery	28
Waste management	Waste-to-energy	28
Bioenergy	Sustainability	28
Industry 4.0	Remanufacturing	27
Machine learning	Sustainability	27
Remanufacturing	Reuse	27
Waste management	Wastewater	27
Electric vehicles	Sustainability	27
Mechanical properties	Sustainability	27
Carbon footprint	Life cycle assessment	27
Biorefinery	Life cycle assessment	27
Biopolymers	Sustainability	27
Environmental sustainability	Renewable energy	27
Nutrient recovery	Wastewater	26
Adsorption	Heavy metals	26
Biochar	Sustainability	26
Life cycle assessment	Resource recovery	26
Construction and demolition waste	Life cycle assessment	26
Packaging	Sustainability	26
Anaerobic digestion	Life cycle assessment	26
Environmental sustainability	Wastewater	26
Environmental sustainability	Waste	26
Resource recovery	Waste management	25
Anaerobic digestion	Bioenergy	25
Electric vehicles	Recycling	25
Construction	Waste management	25
Biogas	Sustainability	25
Lithium-ion batteries	Sustainability	25
Reuse	Waste management	25
Environmental sustainability	Resource efficiency	25
Bioeconomy	Life cycle assessment	24
Environmental sustainability	European Union	24
Food waste	Life cycle assessment	24
Bioenergy	Biomass	24
Carbon footprint	Sustainability	24
Environmental sustainability	Reuse	24
Recycling	Resource efficiency	24
Resource efficiency	Waste management	23
E-waste	WEEE	23
Nutrient recovery	Sustainability	23
Biofuels	Biomass	23
Chemical recycling	Pyrolysis	23
Recycling	Resource recovery	23
Packaging	Recycling	23
End-of-life	Sustainability	23
Sustainability	bioactive compounds	23
CO<sub>2</sub> emissions	Sustainability	23
Anaerobic digestion	Composting	22
Life cycle assessment	Resource efficiency	22
Bioplastics	Sustainability	22
Life cycle assessment	Waste-to-energy	22
Microalgae	Wastewater treatment	22
Critical raw materials	Sustainability	22
Sustainability	Waste recycling	22
End-of-life	Life cycle assessment	22
Bioeconomy	Biomass	22
Anaerobic digestion	Waste-to-energy	21
Biogas	Renewable energy	21
Bioeconomy	Biorefinery	21
Plastic waste	Waste	21
Agriculture	Environmental sustainability	21
Waste management	industrial ecology	21
Life cycle assessment	Pyrolysis	21
Composting	Waste management	21
Biogas	Life cycle assessment	21
Life cycle assessment	Municipal solid waste	21
Environmental sustainability	Sustainable development goals	21
Food waste	Waste management	20
Adsorption	Wastewater treatment	20
Pyrolysis	Sustainability	20
