keyword,frequency,condition
Circular economy,14811,Full LLM-DAG
Sustainability,5300,Full LLM-DAG
Recycling,1899,Full LLM-DAG
Environmental sustainability,1324,Full LLM-DAG
Life cycle assessment,1312,Full LLM-DAG
Waste management,1103,Full LLM-DAG
Plastic waste,614,Full LLM-DAG
Wastewater,497,Full LLM-DAG
Resource recovery,491,Full LLM-DAG
industrial ecology,489,Full LLM-DAG
Industry 4.0,424,Full LLM-DAG
Anaerobic digestion,423,Full LLM-DAG
Material flow analysis,421,Full LLM-DAG
Waste,389,Full LLM-DAG
Biomass,372,Full LLM-DAG
Reuse,364,Full LLM-DAG
Bioeconomy,357,Full LLM-DAG
Municipal solid waste,357,Full LLM-DAG
Business model,354,Full LLM-DAG
Remanufacturing,352,Full LLM-DAG
Food waste,350,Full LLM-DAG
Construction,350,Full LLM-DAG
Renewable energy,349,Full LLM-DAG
Biorefinery,321,Full LLM-DAG
Agriculture,317,Full LLM-DAG
Wastewater treatment,299,Full LLM-DAG
Composting,298,Full LLM-DAG
Pyrolysis,288,Full LLM-DAG
Nutrient recovery,286,Full LLM-DAG
Circular business models,280,Full LLM-DAG
Climate change,280,Full LLM-DAG
Biochar,256,Full LLM-DAG
Adsorption,255,Full LLM-DAG
Resource efficiency,254,Full LLM-DAG
Sustainable development goals,247,Full LLM-DAG
Biogas,247,Full LLM-DAG
Industrial symbiosis,243,Full LLM-DAG
Waste valorization,240,Full LLM-DAG
Bibliometric analysis,236,Full LLM-DAG
CO<sub>2</sub> emissions,234,Full LLM-DAG
Waste-to-energy,223,Full LLM-DAG
Innovation,215,Full LLM-DAG
Construction and demolition waste,213,Full LLM-DAG
Food supply chain,212,Full LLM-DAG
by-products,209,Full LLM-DAG
Barriers,206,Full LLM-DAG
Supply chain,196,Full LLM-DAG
End-of-life,193,Full LLM-DAG
Valorization,185,Full LLM-DAG
Biofuels,182,Full LLM-DAG
E-waste,179,Full LLM-DAG
Microalgae,178,Full LLM-DAG
Mechanical properties,177,Full LLM-DAG
Greenhouse gas emissions,176,Full LLM-DAG
Sewage sludge,176,Full LLM-DAG
Bioenergy,174,Full LLM-DAG
Hydrogen,174,Full LLM-DAG
SMEs,169,Full LLM-DAG
Closed-loop supply chain,165,Full LLM-DAG
Critical raw materials,164,Full LLM-DAG
Lithium-ion batteries,164,Full LLM-DAG
WEEE,162,Full LLM-DAG
Reverse logistics,161,Full LLM-DAG
Digitalization,157,Full LLM-DAG
polyphenols,154,Full LLM-DAG
Decision-making,151,Full LLM-DAG
Machine learning,150,Full LLM-DAG
Circular supply chain,150,Full LLM-DAG
Heavy metals,147,Full LLM-DAG
Biodegradable,146,Full LLM-DAG
Systematic literature review,146,Full LLM-DAG
bioactive compounds,144,Full LLM-DAG
COVID-19,143,Full LLM-DAG
Textile waste,142,Full LLM-DAG
Bioplastics,142,Full LLM-DAG
Packaging,141,Full LLM-DAG
Literature review,139,Full LLM-DAG
Product-service system,139,Full LLM-DAG
European Union,136,Full LLM-DAG
Biowaste,135,Full LLM-DAG
China,134,Full LLM-DAG
Chemical recycling,133,Full LLM-DAG
Indicators,132,Full LLM-DAG
Techno-economic analysis,132,Full LLM-DAG
Recovery,132,Full LLM-DAG
Energy,132,Full LLM-DAG
Biopolymers,130,Full LLM-DAG
Carbon footprint,130,Full LLM-DAG
Lignocellulosic biomass,128,Full LLM-DAG
3D printing,128,Full LLM-DAG
antioxidants,128,Full LLM-DAG
Supply chain management,126,Full LLM-DAG
Case study,126,Full LLM-DAG
Additive manufacturing,126,Full LLM-DAG
Upcycling,124,Full LLM-DAG
Electric vehicles,123,Full LLM-DAG
Waste recycling,123,Full LLM-DAG
Policy,121,Full LLM-DAG
Eco-design,121,Full LLM-DAG
Optimization,121,Full LLM-DAG
