	Circular economy	circular economy	Sustainability	Recycling	sustainability	Waste management	Life cycle assessment	recycling	Circular Economy	Sustainable development	waste management	Industry 4.0	sustainable development	Resource recovery	Anaerobic digestion	Food waste	Biorefinery	Waste	Bioeconomy	LCA	Reuse	Pyrolysis	Biomass	industrial ecology	Biochar	Wastewater treatment	Adsorption	Biogas	Wastewater	Industrial symbiosis	Renewable energy	Plastic waste	life cycle assessment	Resource efficiency	Climate change	Waste valorization	Remanufacturing	Microalgae	waste	China	Bioenergy	Environmental sustainability	Circularity	Barriers	Municipal solid waste	Valorization	Material flow analysis	Environmental impact	Circular economy (CE)	Sustainable development goals	COVID-19	Environment	Innovation	E-waste	reuse	Supply chain	Sewage sludge	climate change	3D printing	biomass	Machine learning	Bibliometric analysis	Nutrient recovery	Industrial ecology	Waste-to-energy	food waste	Reverse logistics	Literature review	Mechanical properties	European Union	Biodiesel	Systematic literature review	anaerobic digestion	Recovery	Carbon footprint	WEEE	renewable energy	Circular business models	bioeconomy	SMEs	Additive manufacturing	Optimization	Construction and demolition waste	Life cycle assessment (LCA)	Digitalization	Agriculture	waste valorization	Energy	Supply chain management	Business model	Energy recovery	circularity	Closed-loop supply chain	Packaging	adsorption	wastewater	mechanical properties	Indicators	biogas	Sustainable consumption
Circular economy	0	1	1147	575	53	460	366	16	0	306	15	173	15	180	123	142	113	121	136	97	148	84	88	0	75	92	63	88	74	127	95	94	5	127	97	76	104	49	7	56	70	79	62	93	59	61	91	65	0	75	56	56	69	49	6	76	50	2	32	2	42	49	56	76	71	4	61	70	29	34	36	61	0	42	59	40	2	67	1	38	45	33	49	51	50	45	1	48	50	67	42	3	51	39	0	0	0	55	0	55
circular economy	1	0	12	5	629	4	2	325	0	4	238	58	200	1	2	1	0	6	5	33	4	0	3	155	0	0	1	1	4	1	0	3	104	0	1	0	1	2	77	16	0	1	0	1	3	0	1	0	0	0	13	1	2	6	78	0	1	66	25	44	1	3	0	0	1	51	1	0	0	25	0	1	30	0	0	15	49	1	58	18	1	0	2	0	0	1	47	0	2	0	0	28	0	0	24	29	19	0	38	0
Sustainability	1147	12	0	112	0	75	51	1	73	43	1	47	0	15	9	31	18	21	46	22	21	6	13	0	8	9	4	5	9	20	12	11	0	27	30	8	14	6	0	7	12	1	26	20	5	10	4	13	12	18	22	30	41	11	1	21	5	0	6	0	8	23	2	10	13	1	15	26	9	7	4	19	0	5	9	2	0	10	1	9	19	6	2	11	12	10	0	12	24	19	2	0	18	14	0	0	0	14	0	2
Recycling	575	5	112	0	0	89	31	0	42	9	2	0	0	12	3	3	3	34	3	14	53	11	4	0	3	1	1	1	5	7	9	26	0	12	5	3	15	0	0	6	0	3	6	3	16	4	18	11	3	0	2	8	4	29	1	6	4	0	16	0	5	2	1	7	8	0	5	6	11	3	3	3	0	20	7	15	0	1	0	2	19	4	12	10	2	1	0	5	3	4	4	0	2	7	0	0	0	1	0	3
sustainability	53	629	0	0	0	1	0	70	8	0	47	19	23	0	0	1	0	1	0	11	1	0	1	14	1	0	0	0	0	0	0	0	16	0	0	0	1	0	18	2	0	0	1	0	0	0	0	0	3	0	5	0	0	2	15	0	0	12	12	13	0	1	0	0	0	15	0	0	0	3	0	0	3	0	0	3	10	1	12	5	1	0	0	0	0	0	8	0	0	0	0	24	0	0	0	1	7	0	3	0
Waste management	460	4	75	89	1	0	29	1	5	23	0	4	0	13	17	15	5	9	9	7	17	10	5	0	2	5	5	9	3	11	8	16	0	15	5	6	3	1	0	4	3	7	4	6	27	7	15	2	8	7	10	7	2	6	0	7	4	0	0	0	4	7	3	8	12	0	4	3	4	2	1	3	0	4	4	3	0	1	0	1	0	2	12	1	3	8	0	5	3	1	9	0	4	5	0	0	0	3	0	4
Life cycle assessment	366	2	51	31	0	29	0	0	3	12	0	0	0	8	12	13	10	10	9	11	10	8	6	0	2	5	1	8	2	3	5	8	0	11	13	13	5	2	0	1	9	13	5	0	10	0	19	30	0	2	1	1	0	1	0	3	1	0	3	0	3	1	3	8	6	0	0	7	1	0	2	1	0	1	13	4	0	3	0	0	5	8	10	0	2	0	0	1	1	1	4	0	0	4	0	0	0	3	0	1
recycling	16	325	1	0	70	1	0	0	4	0	54	1	9	0	0	1	0	5	0	5	0	0	0	25	0	0	0	0	0	0	0	1	21	0	0	0	0	0	20	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	23	0	0	2	9	2	0	1	0	0	0	1	0	0	0	3	0	0	0	0	0	10	3	0	3	0	0	0	0	0	0	0	4	0	0	0	0	3	0	0	0	2	8	0	0	0
Circular Economy	0	0	73	42	8	5	3	4	0	10	0	17	1	1	1	1	4	9	6	3	11	5	4	2	3	0	0	3	2	0	1	0	0	3	3	1	1	2	2	7	2	0	7	9	2	1	0	2	0	3	4	8	10	4	0	0	0	0	2	0	1	3	1	0	2	1	0	1	0	11	2	2	0	0	0	6	0	1	0	5	1	4	0	0	4	0	0	2	1	1	0	1	0	4	0	0	0	2	0	0
Sustainable development	306	4	43	9	0	23	12	0	10	0	0	14	0	1	2	5	3	2	5	5	2	3	3	0	2	3	0	2	2	7	17	1	0	11	12	3	2	1	0	3	2	7	0	11	2	4	3	6	3	2	5	7	4	2	0	4	0	0	1	0	1	8	0	4	2	0	2	5	0	3	1	9	0	1	3	1	0	4	0	0	0	1	3	2	1	6	0	2	6	3	1	0	2	0	0	0	0	4	0	1
waste management	15	238	1	2	47	0	0	54	0	0	0	1	22	0	0	0	0	0	0	1	1	0	0	9	1	0	0	1	0	0	0	1	5	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	2	0	0	2	5	0	0	5	0	9	0	0	0	0	0	4	0	0	0	2	0	0	5	0	0	2	7	0	4	0	0	0	0	0	0	0	3	0	0	0	0	4	0	0	1	3	2	0	5	0
Industry 4.0	173	58	47	0	19	4	0	1	17	14	1	0	6	1	0	0	2	2	0	0	0	0	0	0	0	1	0	0	0	4	1	0	0	1	1	0	9	0	0	0	0	2	1	5	0	0	0	0	3	7	6	0	6	0	1	7	0	0	9	0	3	2	0	1	1	1	3	5	0	0	0	4	0	0	1	0	0	3	0	6	5	1	0	1	18	1	0	1	7	3	0	0	3	0	0	0	0	0	0	0
sustainable development	15	200	0	0	23	0	0	9	1	0	22	6	0	0	0	0	0	0	0	2	0	0	0	7	0	0	0	1	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	7	0	1	0	0	0	0	1	1	0	0	0	6	0	0	2	0	0	0	7	0	2	3	0	0	0	0	0	0	2	0	0	0	0	3	0	0	1	1	0	0	2	0
Resource recovery	180	1	15	12	0	13	8	0	1	1	0	1	0	0	15	5	3	3	1	4	6	2	1	0	2	26	8	2	16	3	2	1	0	0	5	2	0	6	0	0	5	2	1	0	2	2	3	0	0	0	2	2	0	1	0	0	6	0	0	0	1	2	6	2	0	0	3	1	0	0	2	0	0	0	2	2	0	1	0	0	0	1	1	1	5	0	0	2	0	1	6	0	0	0	0	0	0	1	0	0
Anaerobic digestion	123	2	9	3	0	17	12	0	1	2	0	0	0	15	0	29	12	2	7	4	2	12	8	0	14	4	0	42	6	1	9	0	0	1	3	5	0	7	0	0	18	4	0	0	6	2	0	2	0	1	0	1	0	0	0	0	9	0	0	0	1	0	8	1	5	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	3	1	0	12	0	0	0	0	0	0	0	2	0
Food waste	142	1	31	3	1	15	13	1	1	5	0	0	0	5	29	0	10	0	9	5	1	2	2	0	3	0	0	6	0	3	3	2	0	2	0	4	0	1	0	0	2	3	0	0	1	2	1	4	0	2	2	0	2	1	0	7	1	0	0	0	0	4	1	1	3	0	0	3	0	0	1	3	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	2	1	1	3	0	0	2	0	0	0	0	0	3
Biorefinery	113	0	18	3	0	5	10	0	4	3	0	2	0	3	12	10	0	6	16	2	0	5	18	0	2	4	1	7	5	0	3	1	0	0	0	6	0	9	0	0	15	1	0	0	2	6	0	0	0	2	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	10	0	0	1	1	0	0	0	0	0	0	2	0	2	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Waste	121	6	21	34	1	9	10	5	9	2	0	2	0	3	2	0	6	0	3	0	9	1	4	0	4	1	2	2	3	5	2	0	0	1	4	0	0	0	0	1	2	0	4	0	0	4	0	1	1	0	1	5	0	2	0	3	1	0	2	0	0	2	2	0	3	0	1	1	1	3	0	0	0	2	0	0	0	0	0	0	1	1	0	1	0	3	0	7	0	0	1	0	0	6	0	0	0	1	1	0
Bioeconomy	136	5	46	3	0	9	9	0	6	5	0	0	0	1	7	9	16	3	0	3	0	3	15	0	1	1	0	4	1	0	3	0	0	0	3	0	0	3	0	1	10	0	6	0	0	1	0	0	1	6	2	0	5	0	0	0	1	0	0	1	2	1	2	1	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0	3	1	8	0	2	0	2	0	0	0	1	0	0	0	4	1	2
LCA	97	33	22	14	11	7	11	5	3	5	1	0	2	4	4	5	2	0	3	0	2	4	0	2	1	0	0	4	2	1	1	2	6	1	3	1	0	0	2	1	2	3	4	0	1	0	2	2	0	0	1	1	0	1	2	1	2	1	0	0	0	1	2	2	1	0	0	1	0	0	1	0	1	0	4	2	1	0	0	0	0	0	0	0	0	1	2	1	0	0	0	2	0	4	0	0	1	1	3	0
Reuse	148	4	21	53	1	17	10	0	11	2	1	0	0	6	2	1	0	9	0	2	0	0	1	0	1	2	4	1	4	2	1	1	0	8	2	1	14	0	0	0	0	1	4	1	1	1	4	7	0	1	1	2	0	2	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	8	2	7	0	0	0	1	0	1	1	3	0	1	0	0	0	3	1	0	1	5	0	0	0	0	0	1
