keyword_a	keyword_b	weight
Circular economy	Sustainability	1147
circular economy	sustainability	629
Circular economy	Recycling	575
Circular economy	Waste management	460
Circular economy	Life cycle assessment	366
circular economy	recycling	325
Circular economy	Sustainable development	306
circular economy	waste management	238
circular economy	sustainable development	200
Circular economy	Resource recovery	180
Circular economy	Industry 4.0	173
circular economy	industrial ecology	155
Circular economy	Reuse	148
Circular economy	Food waste	142
Bioeconomy	Circular economy	136
Circular economy	Industrial symbiosis	127
Circular economy	Resource efficiency	127
Anaerobic digestion	Circular economy	123
Circular economy	Waste	121
Biorefinery	Circular economy	113
Recycling	Sustainability	112
Circular economy	Remanufacturing	104
circular economy	life cycle assessment	104
Circular economy	Climate change	97
Circular economy	LCA	97
Circular economy	Renewable energy	95
Circular economy	Plastic waste	94
Barriers	Circular economy	93
Circular economy	Wastewater treatment	92
Circular economy	Material flow analysis	91
Recycling	Waste management	89
Biomass	Circular economy	88
Biogas	Circular economy	88
Circular economy	Pyrolysis	84
Circular economy	Environmental sustainability	79
circular economy	reuse	78
circular economy	waste	77
Circular economy	Industrial ecology	76
Circular economy	Waste valorization	76
Circular economy	Supply chain	76
Circular economy	Sustainable development goals	75
Sustainability	Waste management	75
Biochar	Circular economy	75
Circular economy	Wastewater	74
Circular Economy	Sustainability	73
Circular economy	Waste-to-energy	71
Bioenergy	Circular economy	70
recycling	sustainability	70
Circular economy	Literature review	70
Circular economy	Innovation	69
Business model	Circular economy	67
Circular business models	Circular economy	67
circular economy	climate change	66
Circular economy	Environmental impact	65
Adsorption	Circular economy	63
Circular economy	Circularity	62
Circular economy	Systematic literature review	61
Circular economy	Valorization	61
Circular economy	Reverse logistics	61
Circular economy	Municipal solid waste	59
Carbon footprint	Circular economy	59
Industry 4.0	circular economy	58
bioeconomy	circular economy	58
Circular economy	Environment	56
Circular economy	Nutrient recovery	56
COVID-19	Circular economy	56
China	Circular economy	56
Circular economy	Indicators	55
Circular economy	Sustainable consumption	55
recycling	waste management	54
Recycling	Reuse	53
Circular economy	sustainability	53
circular economy	food waste	51
Circular economy	Closed-loop supply chain	51
Circular economy	Life cycle assessment (LCA)	51
Life cycle assessment	Sustainability	51
Circular economy	Supply chain management	50
Circular economy	Sewage sludge	50
Circular economy	Digitalization	50
Circular economy	Microalgae	49
Circular economy	Construction and demolition waste	49
Bibliometric analysis	Circular economy	49
circular economy	renewable energy	49
Circular economy	E-waste	49
Circular economy	Energy	48
circular economy	waste valorization	47
Industry 4.0	Sustainability	47
sustainability	waste management	47
Bioeconomy	Sustainability	46
Agriculture	Circular economy	45
Additive manufacturing	Circular economy	45
biomass	circular economy	44
Sustainability	Sustainable development	43
Circular economy	Machine learning	42
Anaerobic digestion	Biogas	42
Circular economy	Recovery	42
Circular Economy	Recycling	42
Circular economy	Energy recovery	42
Innovation	Sustainability	41
Circular economy	WEEE	40
Circular economy	Packaging	39
biogas	circular economy	38
Circular economy	SMEs	38
Biodiesel	Circular economy	36
Recycling	Waste	34
Circular economy	European Union	34
Circular economy	Optimization	33
LCA	circular economy	33
3D printing	Circular economy	32
Life cycle assessment	Recycling	31
Food waste	Sustainability	31
Environment	Sustainability	30
anaerobic digestion	circular economy	30
Climate change	Sustainability	30
Environmental impact	Life cycle assessment	30
Anaerobic digestion	Food waste	29
Biochar	Pyrolysis	29
Circular economy	Mechanical properties	29
Life cycle assessment	Waste management	29
circular economy	wastewater	29
E-waste	Recycling	29
circular economy	circularity	28
Municipal solid waste	Waste management	27
Resource efficiency	Sustainability	27
Plastic waste	Recycling	26
Resource recovery	Wastewater treatment	26
Circularity	Sustainability	26
Literature review	Sustainability	26
European Union	circular economy	25
industrial ecology	recycling	25
3D printing	circular economy	25
Supply chain management	Sustainability	24
adsorption	circular economy	24
circularity	sustainability	24
Sustainable development	Waste management	23
sustainability	sustainable development	23
Bibliometric analysis	Sustainability	23
3D printing	Additive manufacturing	23
recycling	reuse	23
COVID-19	Sustainability	22
LCA	Sustainability	22
sustainable development	waste management	22
Sustainability	Waste	21
life cycle assessment	recycling	21
Adsorption	Biochar	21
Supply chain	Sustainability	21
Reuse	Sustainability	21
Industrial symbiosis	Sustainability	20
Barriers	Sustainability	20
Recovery	Recycling	20
Microalgae	Wastewater	20
recycling	waste	20
Sustainability	Systematic literature review	19
Microalgae	Wastewater treatment	19
circular economy	mechanical properties	19
Industry 4.0	sustainability	19
Life cycle assessment	Material flow analysis	19
Business model	Sustainability	19
Additive manufacturing	Recycling	19
Additive manufacturing	Sustainability	19
Material flow analysis	Recycling	18
Sustainability	Sustainable development goals	18
Anaerobic digestion	Bioenergy	18
Closed-loop supply chain	Sustainability	18
Biorefinery	Sustainability	18
Digitalization	Industry 4.0	18
SMEs	circular economy	18
Biomass	Biorefinery	18
sustainability	waste	18
Anaerobic digestion	Waste management	17
Renewable energy	Sustainable development	17
anaerobic digestion	biogas	17
Circular Economy	Industry 4.0	17
Reuse	Waste management	17
Plastic waste	Waste management	16
Bioeconomy	Biorefinery	16
3D printing	Recycling	16
Municipal solid waste	Recycling	16
Bioenergy	Biomass	16
Biogas	Renewable energy	16
Resource recovery	Wastewater	16
Plastic waste	Pyrolysis	16
Circular economy	recycling	16
life cycle assessment	sustainability	16
China	circular economy	16
Resource efficiency	Waste management	15
Material flow analysis	Waste management	15
Food waste	Waste management	15
Anaerobic digestion	Resource recovery	15
Resource recovery	Sustainability	15
Recycling	Remanufacturing	15
Circular economy	waste management	15
Recycling	WEEE	15
WEEE	circular economy	15
Industrial ecology	Industrial symbiosis	15
Reverse logistics	Sustainability	15
Bioenergy	Biorefinery	15
Bioeconomy	Biomass	15
reuse	sustainability	15
Circular economy	sustainable development	15
food waste	sustainability	15
industrial ecology	sustainability	14
Anaerobic digestion	Biochar	14
Remanufacturing	Reuse	14
LCA	Recycling	14
Industry 4.0	Sustainable development	14
Packaging	Sustainability	14
Indicators	Sustainability	14
Remanufacturing	Sustainability	14
Resource recovery	Waste management	13
Climate change	Life cycle assessment	13
Carbon footprint	Life cycle assessment	13
Food waste	Life cycle assessment	13
Life cycle assessment	Waste valorization	13
Environmental sustainability	Life cycle assessment	13
Environmental impact	Sustainability	13
COVID-19	circular economy	13
biomass	sustainability	13
Sustainability	Waste-to-energy	13
Biomass	Sustainability	13
Anaerobic digestion	Biorefinery	12
Circular economy (CE)	Sustainability	12
Anaerobic digestion	Pyrolysis	12
Anaerobic digestion	Energy recovery	12
Energy	Sustainability	12
Construction and demolition waste	Waste management	12
Sustainability	circular economy	12
Construction and demolition waste	Recycling	12
Renewable energy	Sustainability	12
Digitalization	Sustainability	12
Anaerobic digestion	Life cycle assessment	12
Waste management	Waste-to-energy	12
Recycling	Resource recovery	12
Life cycle assessment	Sustainable development	12
Bioenergy	Sustainability	12
bioeconomy	sustainability	12
Recycling	Resource efficiency	12
Climate change	Sustainable development	12
climate change	sustainability	12
3D printing	sustainability	12
Industrial symbiosis	Waste management	11
Resource efficiency	Sustainable development	11
Barriers	Sustainable development	11
Circular Economy	Reuse	11
Mechanical properties	Recycling	11
Adsorption	Wastewater treatment	11
Life cycle assessment (LCA)	Sustainability	11
Pyrolysis	Recycling	11
Life cycle assessment	Resource efficiency	11
LCA	Life cycle assessment	11
Plastic waste	Sustainability	11
Environmental impact	Recycling	11
LCA	sustainability	11
Circular Economy	European Union	11
E-waste	Sustainability	11
Closed-loop supply chain	Remanufacturing	10
Biorefinery	Life cycle assessment	10
Construction and demolition waste	Life cycle assessment	10
Industrial ecology	Sustainability	10
COVID-19	Waste management	10
E-waste	WEEE	10
Bioenergy	Biogas	10
Pyrolysis	Waste management	10
Circular Economy	Innovation	10
Life cycle assessment	Reuse	10
Sustainability	Valorization	10
Circular business models	Sustainability	10
Agriculture	Sustainability	10
Life cycle assessment	Waste	10
Biorefinery	Food waste	10
Biodiesel	Biorefinery	10
Bioeconomy	Bioenergy	10
Circular Economy	Sustainable development	10
Life cycle assessment	Municipal solid waste	10
Life cycle assessment (LCA)	Recycling	10
WEEE	recycling	10
renewable energy	sustainability	10
industrial ecology	life cycle assessment	10
Bioenergy	Life cycle assessment	9
Climate change	Renewable energy	9
Bioeconomy	Life cycle assessment	9
industrial ecology	waste management	9
Sustainability	Wastewater treatment	9
Anaerobic digestion	Renewable energy	9
Bioeconomy	Waste management	9
Energy recovery	Waste management	9
Mechanical properties	Sustainability	9
Sustainability	Wastewater	9
Anaerobic digestion	Sewage sludge	9
Biogas	Waste management	9
Industry 4.0	Remanufacturing	9
Barriers	Circular Economy	9
Biorefinery	Microalgae	9
Waste	Waste management	9
SMEs	Sustainability	9
Recycling	Sustainable development	9
Bioeconomy	Food waste	9
Carbon footprint	Sustainability	9
3D printing	Industry 4.0	9
recycling	sustainable development	9
Recycling	Renewable energy	9
Anaerobic digestion	Sustainability	9
Sustainable development	Systematic literature review	9
biomass	waste management	9
Circular Economy	Waste	9
Reuse	Waste	9
3D printing	recycling	9
Machine learning	Sustainability	8
Energy	Wastewater	8
Bibliometric analysis	Sustainable development	8
Circular economy (CE)	Waste management	8
Adsorption	Wastewater	8
Biochar	Sustainability	8
Agriculture	Bioeconomy	8
Agriculture	Waste management	8
Life cycle assessment	Pyrolysis	8
Pyrolysis	Waste-to-energy	8
Recycling	Waste-to-energy	8
Biochar	Biomass	8
Life cycle assessment	Optimization	8
Environment	Recycling	8
Anaerobic digestion	Nutrient recovery	8
Biogas	Life cycle assessment	8
Biomass	Pyrolysis	8
sustainability	waste valorization	8
Biogas	Biomass	8
Adsorption	Resource recovery	8
Pyrolysis	Waste valorization	8
Industrial ecology	Life cycle assessment	8
Sustainability	Waste valorization	8
Bibliometric analysis	Systematic literature review	8
Remanufacturing	Reverse logistics	8
Bibliometric analysis	Literature review	8
Life cycle assessment	Plastic waste	8
Industrial ecology	Waste management	8
Recovery	Reuse	8
Resource efficiency	Reuse	8
Circular Economy	sustainability	8
Anaerobic digestion	Biomass	8
Life cycle assessment	Resource recovery	8
Renewable energy	Waste management	8
Biodiesel	Microalgae	8
mechanical properties	recycling	8
Circular Economy	Environment	8
Anaerobic digestion	Microalgae	7
Industrial symbiosis	Sustainable development	7
Sustainable development goals	Waste management	7
China	Climate change	7
biogas	food waste	7
Environment	Sustainable development	7
COVID-19	Supply chain	7
Carbon footprint	Recycling	7
Packaging	Recycling	7
Energy	Waste	7
Environmental sustainability	Sustainable development	7
COVID-19	Plastic waste	7
Industrial ecology	Recycling	7
Valorization	Wastewater	7
Agriculture	Wastewater	7
Bibliometric analysis	Waste management	7
Environmental sustainability	Waste management	7
Environmental impact	Reuse	7
Reuse	WEEE	7
adsorption	biomass	7
Circular economy	waste	7
Anaerobic digestion	Bioeconomy	7
Closed-loop supply chain	Reverse logistics	7
Industry 4.0	Supply chain management	7
Food waste	Supply chain	7
Industry 4.0	Sustainable development goals	7
Life cycle assessment	Literature review	7
Bioenergy	Renewable energy	7
Circular Economy	Circularity	7
Supply chain	Waste management	7
China	Sustainability	7
China	Circular Economy	7
Industry 4.0	Supply chain	7
Biogas	Biorefinery	7
industrial ecology	sustainable development	7
Environment	Waste management	7
LCA	Waste management	7
European Union	Sustainability	7
Industrial symbiosis	Recycling	7
Nutrient recovery	Wastewater treatment	7
Valorization	Waste management	7
Barriers	Circular economy (CE)	7
anaerobic digestion	food waste	7
mechanical properties	sustainability	7
renewable energy	waste management	7
climate change	sustainable development	7
renewable energy	sustainable development	7
Resource recovery	Reuse	6
Nutrient recovery	Resource recovery	6
Packaging	Waste	6
3D printing	Sustainability	6
COVID-19	Industry 4.0	6
Biomass	Microalgae	6
Closed-loop supply chain	Supply chain management	6
Bioeconomy	Circular Economy	6
Biomass	Life cycle assessment	6
Microalgae	Resource recovery	6
Biorefinery	Waste valorization	6
Life cycle assessment	Waste-to-energy	6
Industry 4.0	sustainable development	6
Bioeconomy	Circularity	6
Agriculture	Sustainable development	6
Barriers	Waste management	6
Municipal solid waste	Waste-to-energy	6
Energy	Environment	6
Optimization	Sustainability	6
Anaerobic digestion	Wastewater	6
Biomass	Renewable energy	6
Anaerobic digestion	Municipal solid waste	6
Literature review	Recycling	6
E-waste	circular economy	6
Climate change	Environment	6
industrial ecology	reuse	6
Biogas	Food waste	6
Supply chain management	Sustainable development	6
Circularity	Recycling	6
Resource recovery	Sewage sludge	6
Biorefinery	Valorization	6
Barriers	Systematic literature review	6
Additive manufacturing	Remanufacturing	6
Microalgae	Sustainability	6
Environmental impact	Sustainable development	6
Biochar	Sewage sludge	6
Bioeconomy	Sustainable development goals	6
Circular Economy	WEEE	6
Waste management	Waste valorization	6
European Union	sustainable development	6
Recycling	Supply chain	6
Industry 4.0	Innovation	6
Energy recovery	Resource recovery	6
Industry 4.0	SMEs	6
Biorefinery	Waste	6
Waste	circular economy	6
China	Recycling	6
Pyrolysis	Sustainability	6
China	European Union	6
E-waste	Waste management	6
Waste valorization	Waste-to-energy	6
Circular economy	reuse	6
LCA	life cycle assessment	6
Nutrient recovery	Wastewater	5
Industrial symbiosis	Resource efficiency	5
Circular economy (CE)	Wastewater	5
Anaerobic digestion	Waste-to-energy	5
Circularity	Innovation	5
Circularity	Indicators	5
Biorefinery	Wastewater	5
Recycling	Reverse logistics	5
Anaerobic digestion	Waste valorization	5
Adsorption	Pyrolysis	5
Industry 4.0	Literature review	5
COVID-19	Sustainable development	5
Food waste	LCA	5
Life cycle assessment	Wastewater treatment	5
Remanufacturing	Sustainable consumption	5
Energy	Recycling	5
Industrial symbiosis	Waste	5
Biogas	Wastewater	5
Pyrolysis	Wastewater treatment	5
Food waste	Resource recovery	5
Nutrient recovery	Sewage sludge	5
Climate change	Sustainable development goals	5
Life cycle assessment	Renewable energy	5
Life cycle assessment	Remanufacturing	5
Recycling	Wastewater	5
Biomass	Waste management	5
Energy recovery	Pyrolysis	5
Bioenergy	Resource recovery	5
