keyword,frequency,condition
Circular economy,9052,Raw (unharmonised)
circular economy,4432,Raw (unharmonised)
Sustainability,1783,Raw (unharmonised)
Recycling,1005,Raw (unharmonised)
sustainability,996,Raw (unharmonised)
Waste management,696,Raw (unharmonised)
Life cycle assessment,562,Raw (unharmonised)
recycling,548,Raw (unharmonised)
Circular Economy,530,Raw (unharmonised)
Sustainable development,459,Raw (unharmonised)
waste management,341,Raw (unharmonised)
Industry 4.0,330,Raw (unharmonised)
sustainable development,319,Raw (unharmonised)
Resource recovery,279,Raw (unharmonised)
Anaerobic digestion,270,Raw (unharmonised)
Food waste,233,Raw (unharmonised)
Biorefinery,226,Raw (unharmonised)
Waste,224,Raw (unharmonised)
Bioeconomy,224,Raw (unharmonised)
LCA,223,Raw (unharmonised)
Reuse,222,Raw (unharmonised)
Pyrolysis,219,Raw (unharmonised)
Biomass,204,Raw (unharmonised)
industrial ecology,194,Raw (unharmonised)
Biochar,189,Raw (unharmonised)
Wastewater treatment,188,Raw (unharmonised)
Adsorption,175,Raw (unharmonised)
Biogas,175,Raw (unharmonised)
Wastewater,172,Raw (unharmonised)
Industrial symbiosis,166,Raw (unharmonised)
Renewable energy,165,Raw (unharmonised)
Plastic waste,164,Raw (unharmonised)
life cycle assessment,163,Raw (unharmonised)
Resource efficiency,163,Raw (unharmonised)
Climate change,163,Raw (unharmonised)
Waste valorization,157,Raw (unharmonised)
Remanufacturing,154,Raw (unharmonised)
Microalgae,138,Raw (unharmonised)
waste,137,Raw (unharmonised)
China,134,Raw (unharmonised)
Bioenergy,134,Raw (unharmonised)
Environmental sustainability,134,Raw (unharmonised)
Circularity,133,Raw (unharmonised)
Barriers,133,Raw (unharmonised)
Municipal solid waste,132,Raw (unharmonised)
Valorization,130,Raw (unharmonised)
Material flow analysis,128,Raw (unharmonised)
Environmental impact,121,Raw (unharmonised)
Circular economy (CE),117,Raw (unharmonised)
Sustainable development goals,117,Raw (unharmonised)
COVID-19,116,Raw (unharmonised)
Environment,116,Raw (unharmonised)
Innovation,115,Raw (unharmonised)
E-waste,111,Raw (unharmonised)
reuse,110,Raw (unharmonised)
Supply chain,107,Raw (unharmonised)
Sewage sludge,106,Raw (unharmonised)
climate change,103,Raw (unharmonised)
3D printing,103,Raw (unharmonised)
biomass,100,Raw (unharmonised)
Machine learning,98,Raw (unharmonised)
Bibliometric analysis,98,Raw (unharmonised)
Nutrient recovery,97,Raw (unharmonised)
Industrial ecology,96,Raw (unharmonised)
Waste-to-energy,96,Raw (unharmonised)
food waste,96,Raw (unharmonised)
Reverse logistics,95,Raw (unharmonised)
Literature review,94,Raw (unharmonised)
Mechanical properties,92,Raw (unharmonised)
European Union,91,Raw (unharmonised)
Biodiesel,91,Raw (unharmonised)
Systematic literature review,91,Raw (unharmonised)
anaerobic digestion,89,Raw (unharmonised)
Recovery,89,Raw (unharmonised)
Carbon footprint,89,Raw (unharmonised)
WEEE,89,Raw (unharmonised)
renewable energy,88,Raw (unharmonised)
Circular business models,86,Raw (unharmonised)
bioeconomy,86,Raw (unharmonised)
SMEs,84,Raw (unharmonised)
Additive manufacturing,84,Raw (unharmonised)
Optimization,84,Raw (unharmonised)
Construction and demolition waste,82,Raw (unharmonised)
Life cycle assessment (LCA),82,Raw (unharmonised)
Digitalization,81,Raw (unharmonised)
Agriculture,81,Raw (unharmonised)
waste valorization,80,Raw (unharmonised)
Energy,80,Raw (unharmonised)
Supply chain management,79,Raw (unharmonised)
Business model,79,Raw (unharmonised)
Energy recovery,79,Raw (unharmonised)
circularity,78,Raw (unharmonised)
Closed-loop supply chain,75,Raw (unharmonised)
Packaging,75,Raw (unharmonised)
adsorption,75,Raw (unharmonised)
wastewater,74,Raw (unharmonised)
mechanical properties,74,Raw (unharmonised)
Indicators,73,Raw (unharmonised)
biogas,72,Raw (unharmonised)
Sustainable consumption,72,Raw (unharmonised)
