method,metric,point_estimate,ci_2.5,ci_97.5,n_decided,gold_match_n,pred_match_n
Full_LLM_DAG,precision,0.9762,0.9211,1.0,124,43,42
Full_LLM_DAG,recall,0.9535,0.881,1.0,124,43,42
Full_LLM_DAG,f1,0.9647,0.9167,1.0,124,43,42
Full_LLM_DAG,coverage,0.9262,0.8792,0.9664,124,43,42
B1_Exact,precision,1.0,1.0,1.0,124,43,12
B1_Exact,recall,0.2791,0.15,0.4222,124,43,12
B1_Exact,f1,0.4364,0.2609,0.5938,124,43,12
B1_Exact,coverage,1.0,1.0,1.0,124,43,12
B2_Normalised,precision,1.0,1.0,1.0,124,43,12
B2_Normalised,recall,0.2791,0.15,0.4222,124,43,12
B2_Normalised,f1,0.4364,0.2609,0.5938,124,43,12
B2_Normalised,coverage,1.0,1.0,1.0,124,43,12
B3_JaroWinkler,precision,0.9429,0.8537,1.0,124,43,35
B3_JaroWinkler,recall,0.7674,0.6316,0.8889,124,43,35
B3_JaroWinkler,f1,0.8462,0.7467,0.925,124,43,35
B3_JaroWinkler,coverage,1.0,1.0,1.0,124,43,35
B4_TFIDF,precision,0.8049,0.6739,0.9211,124,43,41
B4_TFIDF,recall,0.7674,0.6327,0.8889,124,43,41
B4_TFIDF,f1,0.7857,0.6753,0.875,124,43,41
B4_TFIDF,coverage,1.0,1.0,1.0,124,43,41
B5_Embedding,precision,1.0,1.0,1.0,124,43,29
B5_Embedding,recall,0.6744,0.5294,0.8108,124,43,29
B5_Embedding,f1,0.8056,0.6923,0.8955,124,43,29
B5_Embedding,coverage,1.0,1.0,1.0,124,43,29
B6_NaiveLLM,precision,0.8667,0.7561,0.9565,123,43,45
B6_NaiveLLM,recall,0.907,0.8108,0.9792,123,43,45
B6_NaiveLLM,f1,0.8864,0.8052,0.9495,123,43,45
B6_NaiveLLM,coverage,0.9933,0.9799,1.0,123,43,45
