k,a_TPtoFN,b_FNtoTP,c_FPtoTN,d_TNtoFP,TP,FP,FN,TN,precision,recall,f1,accuracy
1,0,0,0,1,41,2,2,79,0.9534883720930233,0.9534883720930233,0.9534883720930233,0.967741935483871
1,0,0,1,0,41,0,2,81,1.0,0.9534883720930233,0.9761904761904763,0.9838709677419355
1,0,1,0,0,42,1,1,80,0.9767441860465116,0.9767441860465116,0.9767441860465116,0.9838709677419355
1,1,0,0,0,40,1,3,80,0.975609756097561,0.9302325581395349,0.9523809523809524,0.967741935483871
2,0,0,0,2,41,3,2,78,0.9318181818181818,0.9534883720930233,0.942528735632184,0.9596774193548387
2,0,0,1,1,41,1,2,80,0.9761904761904762,0.9534883720930233,0.9647058823529412,0.9758064516129032
2,0,1,0,1,42,2,1,79,0.9545454545454546,0.9767441860465116,0.9655172413793104,0.9758064516129032
2,0,1,1,0,42,0,1,81,1.0,0.9767441860465116,0.988235294117647,0.9919354838709677
2,0,2,0,0,43,1,0,80,0.9772727272727273,1.0,0.9885057471264368,0.9919354838709677
2,1,0,0,1,40,2,3,79,0.9523809523809523,0.9302325581395349,0.9411764705882352,0.9596774193548387
2,1,0,1,0,40,0,3,81,1.0,0.9302325581395349,0.963855421686747,0.9758064516129032
2,1,1,0,0,41,1,2,80,0.9761904761904762,0.9534883720930233,0.9647058823529412,0.9758064516129032
2,2,0,0,0,39,1,4,80,0.975,0.9069767441860465,0.9397590361445783,0.9596774193548387
3,0,0,0,3,41,4,2,77,0.9111111111111111,0.9534883720930233,0.9318181818181819,0.9516129032258065
3,0,0,1,2,41,2,2,79,0.9534883720930233,0.9534883720930233,0.9534883720930233,0.967741935483871
3,0,1,0,2,42,3,1,78,0.9333333333333333,0.9767441860465116,0.9545454545454545,0.967741935483871
3,0,1,1,1,42,1,1,80,0.9767441860465116,0.9767441860465116,0.9767441860465116,0.9838709677419355
3,0,2,0,1,43,2,0,79,0.9555555555555556,1.0,0.9772727272727273,0.9838709677419355
3,0,2,1,0,43,0,0,81,1.0,1.0,1.0,1.0
3,1,0,0,2,40,3,3,78,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9516129032258065
3,1,0,1,1,40,1,3,80,0.975609756097561,0.9302325581395349,0.9523809523809524,0.967741935483871
3,1,1,0,1,41,2,2,79,0.9534883720930233,0.9534883720930233,0.9534883720930233,0.967741935483871
3,1,1,1,0,41,0,2,81,1.0,0.9534883720930233,0.9761904761904763,0.9838709677419355
3,1,2,0,0,42,1,1,80,0.9767441860465116,0.9767441860465116,0.9767441860465116,0.9838709677419355
3,2,0,0,1,39,2,4,79,0.9512195121951219,0.9069767441860465,0.9285714285714286,0.9516129032258065
3,2,0,1,0,39,0,4,81,1.0,0.9069767441860465,0.951219512195122,0.967741935483871
3,2,1,0,0,40,1,3,80,0.975609756097561,0.9302325581395349,0.9523809523809524,0.967741935483871
3,3,0,0,0,38,1,5,80,0.9743589743589743,0.8837209302325582,0.9268292682926831,0.9516129032258065
