keyword,canonical_form,cluster_id,freq
Barriers,Barriers,Barriers,206
Business models,Business model,Business model,354
Circular economy,Circular economy,Circular economy,14811
Enablers,Enablers,Enablers,57
EU,EU,EU,24
Pioneers,Pioneers,Pioneers,1
SME,SMEs,SMEs,107
Start-ups,start-ups,start-ups,27
Nanocellulose,Nanocellulose,Nanocellulose,37
"Silica nanoparticle, titania nanoparticles","Silica nanoparticle, titania nanoparticles","Silica nanoparticle, titania nanoparticles",1
"Waterborne coating, aesthetic wood","Waterborne coating, aesthetic wood","Waterborne coating, aesthetic wood",1
Wood coatings,Wood coatings,Wood coatings,4
Biodepolymerization,Biodepolymerization,Biodepolymerization,2
Cutinase,Cutinase,Cutinase,10
Monomer recovery,Monomer recovery,Monomer recovery,6
PET hydrolase,PET hydrolase,PET hydrolase,6
Poly(ethylene terephthalate),Polyethylene terephthalate,Polyethylene terephthalate,78
Recycling,Recycling,Recycling,1899
Circular innovation,Circular innovation,Circular innovation,14
Crowdsourcing,Crowdsourcing,Crowdsourcing,3
Network,Network design,Network design,37
Open circular innovation,Open circular innovation,Open circular innovation,2
Open innovation,open innovation,open innovation,22
Stakeholder collaboration,Stakeholder collaboration,Stakeholder collaboration,7
Geopolymer adsorbent,Geopolymer adsorbent,Geopolymer adsorbent,1
Geopolymer composite,geopolymer composite,geopolymer composite,5
Geopolymers,Geopolymer,Geopolymer,74
Heavy metal removal,Heavy metals,Heavy metals,147
Nutrient recovery,Nutrient recovery,Nutrient recovery,286
Wastewater,Wastewater,Wastewater,497
Water treatment,Water treatment,Water treatment,82
circular economy,Circular economy,Circular economy,14811
EU-28,EU-28,EU-28,6
hybrid input-output,hybrid input-output,hybrid input-output,1
industrial ecology,industrial ecology,industrial ecology,489
material flows,Material flow analysis,Material flow analysis,421
plastic packaging,Plastic packaging,Plastic packaging,55
Adsorption wastewater treatment,Adsorption wastewater treatment,Adsorption wastewater treatment,1
Alternative adsorbents,Alternative protein,Alternative protein,72
Biological sludge,Biological sludge,Biological sludge,2
Tertiary treatment of effluents,Tertiary treatment of effluents,Tertiary treatment of effluents,1
Waste-to-resource,Wastewater,Wastewater,497
anaerobic digestion,Anaerobic digestion,Anaerobic digestion,423
biofuels,Biofuels,Biofuels,182
composting,Composting,Composting,298
ethanol,Ethanol,Ethanol,25
hydrogen,Hydrogen,Hydrogen,174
methane,Methane,Methane,70
water hyacinth,Water hyacinth,Water hyacinth,6
Bio-oil,Bio-oil,Bio-oil,27
Desulphurisation,Desulphurisation,Desulphurisation,1
Energy,Energy,Energy,132
Plastic,Plastic waste,Plastic waste,614
Pyrolysis,Pyrolysis,Pyrolysis,288
Waste tires,Wastewater,Wastewater,497
Cr-Al-Fe oxides additives,Cr-Al-Fe oxides additives,Cr-Al-Fe oxides additives,1
Magnesite ore by-products,Magnesite ore by-products,Magnesite ore by-products,1
Refractory properties,Refractory properties,Refractory properties,1
Serpentinized mining waste,Serpentinized mining waste,Serpentinized mining waste,1
Thermal treatment,Thermal treatment,Thermal treatment,30
Copernicus,Copernicus,Copernicus,1
Critical raw materials,Critical raw materials,Critical raw materials,164
Exploration,Exploration,Exploration,4
Ground instability,Ground instability,Ground instability,1
Mineral resources,Mineral resources,Mineral resources,17
Mining residuals,Mining residuals,Mining residuals,1
Sentinel,Sentinel,Sentinel,1
Small-scale mining,Small-scale mining,Small-scale mining,2
Delphi study,Delphi study,Delphi study,9
extended producer responsibility,Extended producer responsibility,Extended producer responsibility,75
recycling,Recycling,Recycling,1899
The Netherlands,The Netherlands,The Netherlands,14
Anaerobic digestion,Anaerobic digestion,Anaerobic digestion,423
Biomass characterization,Biomass characterization,Biomass characterization,1
Brewery spent grains,Brewers’ spent grain,Brewers’ spent grain,33
Revaluation of wastes,Revaluation of wastes,Revaluation of wastes,1
Environmental business,Environmental business,Environmental business,1
Industry 4.0,Industry 4.0,Industry 4.0,424
Societal change,Societal challenges,Societal challenges,8
Sustainable production,Sustainability,Sustainability,5297
System dynamics,System dynamics,System dynamics,80
content analysis,Content analysis,Content analysis,32
corporate social responsibility,Corporate social responsibility,Corporate social responsibility,69
literature review,Literature review,Literature review,139
reporting framework,reporting framework,reporting framework,1
sustainable development,Sustainability,Sustainability,5297
Food loss,Food loss,Food loss,27
Food waste,Food waste,Food waste,350
Systematic literature review,Systematic literature review,Systematic literature review,146
Architecture,architecture,architecture,19
Bio materials,Biomaterials,Biomaterials,62
Digital planning processes,Digital planning processes,Digital planning processes,1
Fungal architecture,Fungal architecture,Fungal architecture,1
Circular Economy,Circular economy,Circular economy,14811
Heterogeneous Equilibrium Model,Heterogeneous Equilibrium Model,Heterogeneous Equilibrium Model,1
Solvent Extraction,Solvent extraction,Solvent extraction,20
Spent Lithium-ion Batteries recycling,Spent Lithium-ion Batteries recycling,Spent Lithium-ion Batteries recycling,1
blockchain technology,Blockchain technology,Blockchain technology,51
circular economy practices,Circular economy,Circular economy,14811
organizational performance,organizational performance,organizational performance,10
structural equation modeling,Structural equation modeling,Structural equation modeling,47
Bioenergy,Bioenergy,Bioenergy,174
Cogeneration,Cogeneration,Cogeneration,10
Gasification,Gasification,Gasification,76
Life cycle assessment,Life cycle assessment,Life cycle assessment,1021
Wood chips,Wood chips,Wood chips,2
Content analysis,Content analysis,Content analysis,32
Critical review,Critical review,Critical review,8
End-of-life tires,End-of-life,End-of-life,193
Engineering applications,Engineering applications,Engineering applications,3
Network design,Network design,Network design,37
Regulations review,Regulations review,Regulations review,1
Treatment review,Treatment review,Treatment review,1
Waste management,Waste management,Waste management,1103
Material circularity,Material flow analysis,Material flow analysis,421
Re-use,Reuse,Reuse,364
Sustainability,Sustainability,Sustainability,5297
Textiles,Textile waste,Textile waste,142
Hazardous waste,Hazardous waste,Hazardous waste,39
Immobilization,Immobilization,Immobilization,22
One-part geopolymer,One-part geopolymer,One-part geopolymer,3
Valorisation,Valorisation,Valorisation,58
Agricultural residues,Agriculture,Agriculture,317
Bio-polyisoprene,Bio-polyisoprene,Bio-polyisoprene,1
Biomass productivity,Bioproducts,Bioproducts,87
Bioremediation,Bioremediation,Bioremediation,70
Microalgae,Microalgae,Microalgae,178
Water reuse,Water reuse,Water reuse,78
Composite material,Composite materials,Composite materials,39
F-MB,F-MB,F-MB,2
Fertilizers,Fertilizer,Fertilizer,108
Resource recovery,Resource recovery,Resource recovery,491
Wastewaters,Wastewater,Wastewater,497
analytical pyrolysis,analytical pyrolysis,analytical pyrolysis,1
biomass,Biomass,Biomass,372
char,Char,Char,26
CO<sub>2</sub> gasification,CO<sub>2</sub> emissions,CO<sub>2</sub> emissions,234
surface area,surface area,surface area,5
Aitoloakarnania,Aitoloakarnania,Aitoloakarnania,1
Cultural paths,Cultural paths,Cultural paths,1
Regional development,Regional development,Regional development,24
Bimetallic catalysts,Bimetallic catalysts,Bimetallic catalysts,3
CO<sub>2</sub> reforming of methane,CO<sub>2</sub> reforming of methane,CO<sub>2</sub> reforming of methane,1
Ni-based catalysts,Ni-based catalysts,Ni-based catalysts,2
Noble metal catalysts,Noble metal catalysts,Noble metal catalysts,1
Transition metal catalysts,Transition metal catalysts,Transition metal catalysts,1
Fertilizer substitution,Fertilizer substitution,Fertilizer substitution,3
Industrial ecology,industrial ecology,industrial ecology,489
Phosphorus,Phosphorus,Phosphorus,113
Struvite,Struvite,Struvite,49
Urban agriculture,Urban agriculture,Urban agriculture,26
Land application system,Land application system,Land application system,1
Nature-based solutions,Nature-based solutions,Nature-based solutions,59
Nutrients,Nutrient recovery,Nutrient recovery,286
Phytoremediation,Phytoremediation,Phytoremediation,41
Vegetation filters,Vegetation filters,Vegetation filters,1
Wastewater treatments,Wastewater treatment,Wastewater treatment,299
BIM,BIM,BIM,30
Blockchain,Blockchain,Blockchain,109
Built environment,Built environment,Built environment,94
Construction,Construction,Construction,350
Digital twin,Digital twin,Digital twin,34
IoT,IoT,IoT,33
Mining,Mining,Mining,50
PESTELS,PESTEL,PESTEL,3
Responsible approach to Sustainable Development,Responsible approach to Sustainable Development,Responsible approach to Sustainable Development,1
Small Towns and Peripheral Centres,Small Towns and Peripheral Centres,Small Towns and Peripheral Centres,1
Technological Advances and Digitalisation,Technological Advances and Digitalisation,Technological Advances and Digitalisation,1
Deconstruction,Deconstruction,Deconstruction,25
Design,Design,Design,48
Disassembly,Disassembly,Disassembly,44
Prefabricated construction,Prefabricated construction,Prefabricated construction,6
Resilience,Resilience,Resilience,86
informal recycling sector,Informal recycling,Informal recycling,20
Latin America,Latin America,Latin America,18
municipal waste management,Municipal solid waste,Municipal solid waste,357
sustainability,Sustainability,Sustainability,5297
Fungal biopesticide,Fungal biopesticide,Fungal biopesticide,1
Multi-systems approach,Multi-systems approach,Multi-systems approach,1
Pearl millet,Pearl millet,Pearl millet,1
Antioxidants,antioxidants,antioxidants,128
Filamentous fungi,Filamentous fungi,Filamentous fungi,16
Lignocellulolytic enzymes,Lignocellulolytic enzymes,Lignocellulolytic enzymes,6
Calcium hydroxide,Calcium hydroxide,Calcium hydroxide,2
Calcium sulphate or sulfate (gypsum),Calcium sulphate or sulfate (gypsum),Calcium sulphate or sulfate (gypsum),1
