pmcid,keyword_raw,keyword_normalised,licence_code
PMC6410647,brief exercise,brief exercise,by
PMC6410647,glycemia,glycemia,by
PMC6410647,insulinemia,insulinemia,by
PMC6410647,carbohydrate,carbohydrate,by
PMC5680538,GAD65-specific,gad65-specific,by
PMC5680538,monoclonal autoantibody,monoclonal autoantibody,by
PMC5680538,affinity purification,affinity purification,by
PMC5680538,autoantibody production,autoantibody production,by
PMC5295548,Diastolic dysfunction,diastolic dysfunction,by
PMC5295548,Type 2 diabetes mellitus,type 2 diabetes mellitus,by
PMC5295548,Impaired exercise capacity,impaired exercise capacity,by
PMC5295548,Tissue Doppler,tissue doppler,by
PMC5137856,brain,brain,by
PMC5137856,bromocryptine,bromocryptine,by
PMC5137856,diabetes mellitus,diabetes mellitus,by
PMC5137856,insulin,insulin,by
PMC5137856,leptin,leptin,by
PMC5137856,melanocortin,melanocortin,by
PMC5137856,metabolic syndrome,metabolic syndrome,by
PMC5137856,neurodegeneration,neurodegeneration,by
PMC5137856,signaling systems,signaling systems,by
PMC5137856,treatment,treatment,by
PMC5040531,Cirrhosis,cirrhosis,by
PMC5040531,Ascites,ascites,by
PMC5040531,Paracentesis,paracentesis,by
PMC5040531,Pig tail catheter,pig tail catheter,by
PMC5040531,Ultrasound,ultrasound,by
PMC5040531,Dyslipidemia,dyslipidemia,by
PMC5040530,Immunogenicity,immunogenicity,by
PMC5040530,Hepatitis B vaccine,hepatitis b vaccine,by
PMC5040530,Children,children,by
PMC5033009,Biotransformation,biotransformation,by
PMC5033009,Food processing,food processing,by
PMC5033009,Microbiota,microbiota,by
PMC5033009,Mixed diet,mixed diet,by
PMC5033009,Transporters,transporters,by
PMC7159822,type 2 diabetes mellitus (T2DM),type 2 diabetes mellitus (t2dm),by
PMC7159822,erythrocyte membrane,erythrocyte membrane,by
PMC7159822,non-enzymatic glycation of proteins,non-enzymatic glycation of proteins,by
PMC7159822,Amadori compounds,amadori compounds,by
PMC7159822,advanced glycated end products (AGEs),advanced glycated end products (ages),by
PMC7159822,lipid peroxidation,lipid peroxidation,by
PMC7159822,lipid rafts,lipid rafts,by
PMC7159822,erythrocyte membrane fatty acids,erythrocyte membrane fatty acids,by
PMC7159822,erythrocyte membrane pumps,erythrocyte membrane pumps,by
