pmcid,pmid,doi,licence,licence_source,retrieval_batch,keyword_group_classification_rule,n_confidently_author_keywords,included_in_benchmark_construction
PMC6410647,30873442.0,,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_4ae6c435cf28e207,confidently_author only (ambiguous/clearly_not_author excluded),4,False
PMC5680538,29167731.0,10.12688/f1000research.6467.2,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_3ccdbee5de4eff96,confidently_author only (ambiguous/clearly_not_author excluded),4,False
PMC5295548,28197256.0,10.14740/cr439w,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_f2e8a5017f71e564,confidently_author only (ambiguous/clearly_not_author excluded),4,False
PMC5137856,28031898.0,10.4155/fso.15.23,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_f2e8a5017f71e564,confidently_author only (ambiguous/clearly_not_author excluded),10,True
PMC5040531,27785301.0,10.14740/gr661w,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_262af14ebab8b46b,confidently_author only (ambiguous/clearly_not_author excluded),6,False
PMC5040530,27785300.0,10.14740/gr636e,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_262af14ebab8b46b,confidently_author only (ambiguous/clearly_not_author excluded),3,False
PMC5033009,25988374.0,10.1002/mnfr.201400745,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_aaf8a2097c36e4d8,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC7159822,32309579.0,10.15190/d.2016.7,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_741bce6162b0f579,confidently_author only (ambiguous/clearly_not_author excluded),9,True
PMC6398530,27613445.0,10.1111/acel.12504,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_ee61be9d01b1f847,confidently_author only (ambiguous/clearly_not_author excluded),6,True
PMC6410654,30873462.0,,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_ee61be9d01b1f847,confidently_author only (ambiguous/clearly_not_author excluded),6,True
PMC6021034,27781494.0,10.1080/14756366.2016.1230110,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_4ddcd569c2434294,confidently_author only (ambiguous/clearly_not_author excluded),6,False
PMC6014487,27882817.0,10.1080/0886022X.2016.1257433,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_4ddcd569c2434294,confidently_author only (ambiguous/clearly_not_author excluded),5,True
